"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,16.344,16.89,16.215,15.69,180845200,14.630575
2010-01-05,16.88,17.384,16.837,16.200001,209521300,15.106135
2010-01-06,17.384,17.738,17.191,16.389999,205257900,15.283308
2010-01-07,17.888,18.435,17.706,16.93,320868400,15.786848
2010-01-08,18.21,18.338,17.834,16.780001,220104700,15.646972
2010-01-11,18.22,18.381,17.931,16.93,168991600,15.786848
2010-01-12,17.931,17.963,17.341,16.360001,223486800,15.255336
2010-01-13,17.62,17.995,17.319,16.620001,192609900,15.497779
2010-01-14,17.834,18.145,17.813,16.82,142634200,15.684272
2010-01-15,17.845,17.856,17.405,16.26,195117100,15.162088
2010-01-19,17.223,17.663,16.987,16.32,181616500,15.218036
2010-01-20,17.395,17.834,17.352,16.49,288741100,15.376558
2010-01-21,17.652,17.866,16.301,15.47,551285500,14.42543
2010-01-22,16.365,16.644,15.775,14.9,369620800,13.893915
2010-01-25,16.258,16.376,15.84,14.98,262351600,13.968513
2010-01-26,16.022,16.268,15.786,14.77,212380600,13.772698
2010-01-27,15.775,16.397,15.743,15.19,258716200,14.164335
2010-01-28,16.515,16.719,16.097,15.37,232729500,14.332181
2010-01-29,16.612,16.676,16.183,15.18,175135300,14.155013
2010-02-01,16.365,16.558,16.226,15.42,159503300,14.378806
2010-02-02,16.569,16.815,16.419,15.6,171404800,14.546651
2010-02-03,16.697,16.944,16.644,15.53,130861600,14.481377
2010-02-04,16.462,16.547,15.797,14.75,252558700,13.754046
2010-02-05,15.915,16.151,15.346,15,297683300,13.987164
2010-02-08,16.022,16.043,15.496,14.48,208207300,13.502276
2010-02-09,15.732,15.85,15.282,14.47,251522100,13.492952
2010-02-10,15.561,15.99,15.507,14.67,175741800,13.679445
2010-02-11,15.732,15.872,15.593,14.63,141086300,13.642148
2010-02-12,15.518,15.593,15.314,14.45,162819300,13.474304
2010-02-16,15.722,16.419,15.679,15.16,205493300,14.136361
2010-02-17,16.462,17.03,16.354,15.66,261541900,14.602599
2010-02-18,16.644,17.159,16.622,15.88,242140300,14.807744
2010-02-19,16.869,17.201,16.848,15.88,216078200,14.807744
2010-02-22,17.116,17.588,17.116,16.209999,173773200,15.115461
2010-02-23,17.287,17.566,16.933,15.94,210478400,14.863694
2010-02-24,17.137,17.545,17.116,16.33,191571600,15.227361
2010-02-25,17.212,17.77,17.105,16.549999,287325100,15.432504
2010-02-26,17.77,18.059,17.598,16.66,343669400,15.535085
2010-03-01,17.952,18.081,17.77,16.709999,170931100,15.5817
2010-03-02,17.909,18.017,17.577,16.459999,183048600,15.348582
2010-03-03,17.652,17.813,17.502,16.370001,154950200,15.273936
2010-03-04,17.63,17.684,17.18,16.4,157746500,15.301929
2010-03-05,17.705,17.952,17.63,16.700001,172469000,15.581844
2010-03-08,17.952,18.123,17.888,16.74,127705100,15.619165
2010-03-09,17.823,18.209,17.727,16.799999,167779500,15.675146
2010-03-10,18.231,18.595,18.209,17.110001,222932200,15.964387
2010-03-11,18.413,18.52,18.284,17.120001,145079600,15.973725
2010-03-12,18.499,18.541,17.877,16.85,171456700,15.7218
2010-03-15,17.941,18.123,17.781,16.85,120308200,15.7218
2010-03-16,18.188,18.295,18.113,17.030001,107411800,15.889749
2010-03-17,18.402,18.541,18.252,17.27,134463900,16.11368
2010-03-18,18.531,18.563,18.198,17.08,123986800,15.936398
2010-03-19,18.027,18.466,17.941,16.82,178218800,15.69381
2010-03-22,17.813,18.188,17.791,16.959999,113667800,15.824433
2010-03-23,18.306,18.456,18.156,17.129999,131261400,15.983057
2010-03-24,18.349,19.002,18.327,17.57,270410600,16.393595
2010-03-25,19.12,19.667,18.97,17.74,315304700,16.55221
2010-03-26,19.27,19.538,19.024,17.9,220970700,16.701492
2010-03-29,19.474,19.506,19.045,18.040001,152539700,16.832119
2010-03-30,19.356,19.42,18.938,17.76,144373000,16.570875
2010-03-31,18.959,19.27,18.938,17.85,114280900,16.654844
2010-04-01,19.313,19.399,19.174,18.040001,95607200,16.832119
2010-04-05,19.463,19.56,19.313,18.129999,107989300,16.916096
