"Index","Open","High","Low","Close","Volume","Adjusted"
2018-05-04,27.450001,27.450001,25.110001,25.9,7410594,25.9
2018-05-07,25.950001,27.5,25.799999,27.5,655252,27.5
2018-05-08,27.35,27.684999,26.975,27.200001,701301,27.200001
2018-05-09,27.4,27.4,27.15,27.32,174577,27.32
2018-05-11,27.370001,27.370001,27.1,27.190001,277358,27.190001
2018-05-14,27.35,27.35,27.15,27.200001,86083,27.200001
2018-05-15,27.299999,27.4,27.200001,27.299999,297530,27.299999
2018-05-16,27.305,27.6,27.299999,27.375,146084,27.375
2018-05-17,27.355,27.450001,27.205,27.205,120794,27.205
2018-05-18,27.17,27.200001,26.870001,26.885,186628,26.885
2018-05-22,27.01,27.035,26.870001,26.969999,81361,26.969999
2018-05-23,26.950001,26.99,26.625,26.65,205457,26.65
2018-05-24,26.625,26.65,26.450001,26.450001,109925,26.450001
2018-05-25,26.5,26.625,26.4,26.4,88978,26.4
2018-05-28,26.41,26.5,26.15,26.16,105183,26.16
2018-05-29,26.235001,26.235001,25,25.35,136103,25.35
2018-05-30,25.5,25.5,24.1,24.85,137916,24.85
2018-05-31,25.4,25.950001,25.4,25.5,49386,25.5
2018-06-01,25.5,25.559999,25.004999,25.325001,42737,25.325001
2018-06-04,25.5,25.5,25.004999,25.139999,7414,25.139999
2018-06-05,25.049999,25.190001,25,25.190001,11015,25.190001
2018-06-06,25.190001,25.35,24.9,25.1,37620,25.1
2018-06-07,25.41,26,25.41,25.950001,58980,25.950001
2018-06-08,25.799999,25.879999,25.709999,25.82,32277,25.82
2018-06-11,25.879999,26.02,25.35,25.559999,45425,25.559999
2018-06-12,25.485001,26.02,25,25.559999,35612,25.559999
2018-06-13,25.254999,25.469999,25.004999,25.25,15955,25.25
2018-06-14,26.25,26.299999,25.605,25.615,207253,25.615
2018-06-15,25.950001,25.950001,25.584999,25.629999,92548,25.629999
2018-06-18,25.6,25.895,25.35,25.440001,23479,25.440001
2018-06-19,25.594999,25.594999,25.094999,25.15,69572,25.15
2018-06-20,25.129999,25.5,25.129999,25.25,53507,25.25
2018-06-21,25.25,25.355,25.02,25.055,47229,25.055
2018-06-22,25.200001,25.200001,25.049999,25.049999,38606,25.049999
2018-06-25,25.049999,25.200001,24.75,24.799999,59266,24.799999
2018-06-26,24.75,25.200001,24.75,24.9,79395,24.9
2018-06-27,24.950001,24.950001,24.25,24.450001,59852,24.450001
2018-06-28,24.299999,24.4,23,23.5,47672,23.5
2018-06-29,23.700001,23.700001,22.5,23.1,86623,23.1
2018-07-02,22.799999,23,22,22.200001,60750,22.200001
2018-07-03,22.1,22.5,21.85,21.950001,64397,21.950001
2018-07-04,21.950001,22.299999,21.5,21.85,40750,21.85
2018-07-05,21.950001,21.950001,21.6,21.75,48912,21.75
2018-07-06,21.700001,21.9,21.1,21.450001,29322,21.450001
2018-07-09,21.450001,21.75,21.25,21.549999,64718,21.549999
2018-07-10,21.700001,22.5,21.5,22.200001,101870,22.200001
2018-07-11,22.200001,22.5,22.200001,22.25,53634,22.25
2018-07-12,22.25,22.25,22.1,22.15,16695,22.15
2018-07-13,21.950001,22.15,21.799999,21.9,21330,21.9
2018-07-16,22,22.1,21.799999,21.799999,18092,21.799999
2018-07-17,21.75,21.799999,20.549999,21.299999,109654,21.299999
2018-07-18,21.25,21.85,21.25,21.6,89761,21.6
