"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,89.6,89.6,87.18,87.839996,313900,87.839996
2010-01-05,87.52,90,87.11,89.019997,511000,89.019997
2010-01-06,88.59,89.6,86.6,87.32,282900,87.32
2010-01-07,87.34,88.11,86,86.43,422500,86.43
2010-01-08,90.57,92.73,90,91.889999,1196400,91.889999
2010-01-11,93.86,98,92.5,96.769997,1406400,96.769997
2010-01-12,96.52,96.68,94.82,95.419998,548000,95.419998
2010-01-13,95.27,95.96,94.25,95.639999,367300,95.639999
2010-01-14,97.23,99.71,96.86,99.419998,878500,99.419998
2010-01-15,99.56,99.58,96.83,98.059998,595000,98.059998
2010-01-19,98,99.97,97.54,99.5,445000,99.5
2010-01-20,98.61,99.8,97.38,97.849998,448400,97.849998
2010-01-21,97.95,102.9,97.95,100.059998,919700,100.059998
2010-01-22,100.02,100.79,97.64,97.769997,293600,97.769997
2010-01-25,98.23,98.46,95.39,95.849998,375900,95.849998
2010-01-26,95.53,98.73,95.53,97.5,410300,97.5
2010-01-27,97.63,98.98,96.13,98.440002,381200,98.440002
2010-01-28,98.78,99.64,96.63,98.620003,494200,98.620003
2010-01-29,99.01,99.65,96.44,96.459999,254500,96.459999
2010-02-01,96.89,100.41,96.86,100.379997,433900,100.379997
2010-02-02,100.38,101.4,99.32,100.849998,483800,100.849998
2010-02-03,100.65,101.13,100.01,100.379997,223100,100.379997
2010-02-04,100,100,97.9,98.510002,570700,98.510002
2010-02-05,98.11,98.68,93.81,95.199997,793200,95.199997
2010-02-08,95.55,100.86,95.17,99.919998,970000,99.919998
2010-02-09,100.54,100.88,99.17,100.650002,551800,100.650002
2010-02-10,100.74,101.81,99.45,99.510002,391000,99.510002
2010-02-11,99.5,101.48,98.39,101.120003,952200,101.120003
2010-02-12,98.63,105.13,98,104.870003,2192200,104.870003
2010-02-16,105.72,106.49,103.17,103.790001,604500,103.790001
2010-02-17,103.8,104.7,103.49,104.459999,362800,104.459999
2010-02-18,104.1,105,103.55,103.980003,284900,103.980003
2010-02-19,103.56,105.46,103.56,104.989998,330300,104.989998
2010-02-22,105,105,103,103.93,363200,103.93
2010-02-23,103.94,104.6,102.88,103.639999,307500,103.639999
2010-02-24,103.68,105.29,103.54,104.839996,249400,104.839996
2010-02-25,103.69,104.36,102.93,103.82,217200,103.82
2010-02-26,104.1,105.72,103.5,104.709999,309500,104.709999
2010-03-01,105.53,108.5,105.33,107.93,689600,107.93
2010-03-02,108.41,110.22,107.88,110.120003,818300,110.120003
2010-03-03,110.15,111.75,109.4,110.080002,424800,110.080002
2010-03-04,110.29,110.29,108.86,109.029999,316900,109.029999
2010-03-05,109.16,111.55,109.07,110.629997,328500,110.629997
2010-03-08,110.87,112.55,110.72,111.5,362700,111.5
2010-03-09,111.5,113.22,110.9,112.010002,414000,112.010002
2010-03-10,112.25,112.51,110.71,112.32,273000,112.32
2010-03-11,111.46,113.17,111.31,112.959999,235400,112.959999
2010-03-12,113.54,115.64,113,114.980003,500700,114.980003
2010-03-15,114.09,115.63,112.93,114.18,3e+05,114.18
2010-03-16,114.13,115.27,114,114.709999,391600,114.709999
2010-03-17,115.11,115.53,114.3,115.019997,333800,115.019997
2010-03-18,115.27,115.51,113.86,114.169998,327900,114.169998
2010-03-19,113.63,115.36,113.36,113.629997,321100,113.629997
2010-03-22,113.02,114.5,110.71,114.440002,332600,114.440002
2010-03-23,114.76,115.61,114.25,115.269997,275600,115.269997
2010-03-24,115.07,115.5,114.19,114.349998,194900,114.349998
2010-03-25,114.65,117.11,114.05,114.980003,495600,114.980003
2010-03-26,115.43,115.89,113.7,114.019997,247300,114.019997
2010-03-29,114.62,115,114.04,114.599998,143700,114.599998
2010-03-30,115.01,116.47,113.62,114.480003,270100,114.480003
2010-03-31,114.15,114.91,112.53,112.669998,314800,112.669998
2010-04-01,113.27,115.12,113,114.480003,229600,114.480003
2010-04-05,115.12,119.82,114.87,119.300003,705600,119.300003
2010-04-06,119.59,122.62,118.7,122.169998,835500,122.169998
