"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,11.983,12.207,11.695,11.22,14482500,10.505578
2010-01-05,12.09,13.179,12.058,12.1,25066000,11.329542
2010-01-06,12.805,13.072,12.656,12.11,14980700,11.338906
2010-01-07,12.88,13.735,12.869,12.69,19814500,11.881974
2010-01-08,13.478,13.724,12.869,12.47,24589200,11.675982
2010-01-11,13.179,13.767,12.955,12.79,16220400,11.975609
2010-01-12,13.532,13.788,13.147,12.54,12905500,11.741528
2010-01-13,13.382,13.841,13.254,12.85,11763200,12.031788
2010-01-14,13.585,14.215,13.553,13.17,12026800,12.331411
2010-01-15,14.076,14.236,13.446,12.74,9127500,11.928794
2010-01-19,13.67,14.194,13.66,13.03,9836500,12.200326
2010-01-20,13.852,14.407,13.553,13.41,20133800,12.556129
2010-01-21,14.418,14.621,14.044,13.44,24669200,12.584217
2010-01-22,14.215,14.664,13.788,13.29,22279200,12.443769
2010-01-25,14.29,14.568,13.831,13.33,19299600,12.481224
2010-01-26,13.649,14.311,13.564,13.15,16290600,12.312684
2010-01-27,13.895,14.354,13.692,13.16,24581400,12.322049
2010-01-28,14.13,14.461,13.489,12.65,17086500,11.844522
2010-01-29,13.67,14.055,13.019,12.23,19296900,11.451265
2010-02-01,13.211,13.5,13.158,12.63,9733500,11.825795
2010-02-02,13.67,13.959,13.521,12.9,12952100,12.078604
2010-02-03,13.788,13.788,13.158,12.42,9609600,11.629168
2010-02-04,12.592,12.848,12.09,11.46,17073600,10.730295
2010-02-05,12.186,12.528,11.673,11.3,20004600,10.580482
2010-02-08,12.079,12.389,11.898,11.25,9296400,10.533665
2010-02-09,12.314,13.403,12.314,12.39,23978700,11.601078
2010-02-10,13.104,13.168,12.271,11.58,19463200,10.842653
2010-02-11,12.442,13.051,12.367,11.83,14521800,11.076735
2010-02-12,12.485,13.104,12.357,12.25,12768600,11.469993
2010-02-16,13.168,13.478,13.136,12.48,7985600,11.685348
2010-02-17,13.168,13.67,13.168,12.73,10321500,11.919427
2010-02-18,13.468,13.692,13.254,12.55,7197400,11.750889
2010-02-19,13.329,13.606,13.329,12.69,4816200,11.881974
2010-02-22,13.596,14.108,13.542,12.73,9824800,11.919427
2010-02-23,13.596,13.809,13.329,12.64,5596600,11.835158
2010-02-24,13.478,13.638,13.297,12.75,6896100,11.938157
2010-02-25,13.435,13.606,13.201,12.66,6528800,11.853884
2010-02-26,13.606,13.905,13.532,12.92,6592000,12.097328
2010-03-01,13.809,14.418,13.809,13.17,8057800,12.331411
2010-03-02,14.076,14.333,13.596,12.78,9626600,11.966245
