"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,49.431,50.088,49.408,42.709999,70761600,36.444607
2010-01-05,50.287,50.592,50.111,43.02,50196300,36.709133
2010-01-06,50.486,50.732,50.404,43.110001,50670000,36.785927
2010-01-07,50.217,50.369,49.947,42.860001,41803700,36.572609
2010-01-08,50.252,50.65,50.088,43.200001,41118100,36.862728
2010-01-11,50.92,50.943,50.275,43.110001,42546400,36.785927
2010-01-12,49.935,50.041,49.455,42.419998,65902300,36.19714
2010-01-13,49.912,50.041,49.396,42.549999,48040100,36.308083
2010-01-14,49.83,49.947,49.654,42.439999,52893800,36.214211
2010-01-15,49.595,49.666,49.021,41.950001,76681800,35.796104
2010-01-19,49.314,50.158,49.302,42.799999,57597300,36.521408
2010-01-20,49.349,49.349,48.552,41.77,78934700,35.642502
2010-01-21,48.693,48.845,47.439,40.509998,116104300,34.567341
2010-01-22,47.134,47.287,46.326,39.610001,108173800,33.799366
2010-01-25,47.029,47.252,46.49,39.900002,86170400,34.046825
2010-01-26,45.857,46.408,41.966,39.07,89832400,33.338585
2010-01-27,45.459,45.845,44.978,38.970001,91623300,33.253246
2010-01-28,46.08,46.267,44.955,38.700001,98086600,33.022865
2010-01-29,45.88,46.009,44.627,38.279999,151695100,32.664467
2010-02-01,45.283,46.115,45.248,39.310001,81928100,33.543381
2010-02-02,46.162,46.537,45.728,39.630001,86791200,33.816437
2010-02-03,46.455,46.666,46.021,39.400002,64323800,33.620182
2010-02-04,45.412,45.47,44.064,37.619999,131791500,32.101295
2010-02-05,43.701,43.83,42.4,37.200001,165899900,31.742905
2010-02-08,43.572,43.923,43.15,36.830002,78752400,31.427189
2010-02-09,44.216,44.966,43.865,38.029999,133342000,32.451141
2010-02-10,44.58,44.873,43.959,37.93,84646000,32.365818
2010-02-11,44.755,45.67,44.38,38.93,90206600,33.219124
2010-02-12,44.697,45.213,44.38,38.439999,63053000,32.800999
2010-02-16,45.728,46.244,45.412,39.43,73196700,33.645763
2010-02-17,46.56,46.595,46.091,39.57,63631100,33.765232
2010-02-18,46.009,46.713,45.939,39.720001,61597600,33.893227
2010-02-19,46.021,46.443,45.892,39.380001,77264800,33.603115
2010-02-22,46.431,46.455,46.056,39.43,56446600,33.645763
2010-02-23,45.951,46.209,45.107,38.52,103220800,32.869267
2010-02-24,45.447,45.787,45.177,38.889999,73043700,33.184998
2010-02-25,44.498,45.283,44.252,38.57,73641500,32.911922
2010-02-26,45.248,45.752,44.966,38.959999,65727300,33.244717
2010-03-01,46.209,46.56,46.091,39.619999,73146100,33.807903
2010-03-02,46.9,47.228,46.701,40.07,66353000,34.191887
2010-03-03,47.205,47.603,46.841,40.119999,68779900,34.23455
2010-03-04,47.052,47.111,46.478,39.91,61065500,34.055363
2010-03-05,47.416,47.99,47.24,40.950001,78177700,34.942791
2010-03-08,48.095,48.271,47.955,40.98,56724000,34.968395
2010-03-09,47.814,48.517,47.802,41.209999,66759800,35.164646
2010-03-10,48.4,48.834,48.295,41.5,73994500,35.412113
2010-03-11,48.353,48.693,48.095,41.509998,42415700,35.420643
2010-03-12,48.869,48.881,48.342,41.369999,48949200,35.301182
2010-03-15,48.201,48.33,47.826,41.07,43560300,35.045189
2010-03-16,48.295,48.775,48.107,41.599998,58417000,35.497437
2010-03-17,49.232,49.513,49.068,42.049999,72017100,35.881428
2010-03-18,49.185,49.256,48.67,41.73,73867900,35.608372
2010-03-19,48.271,49.068,48.201,41.189999,65993900,35.147583
2010-03-22,47.779,48.494,47.662,41.34,57583400,35.275585
2010-03-23,48.506,48.822,48.283,41.630001,50528500,35.523045
2010-03-24,48.271,48.47,48.06,41.009998,65081100,34.993988
2010-03-25,48.459,48.634,47.838,40.900002,72397600,34.900127
2010-03-26,48.33,48.506,47.756,41.099998,69798700,35.070793
2010-03-29,48.67,49.056,48.564,41.84,57961300,35.70224
2010-03-30,49.15,49.361,48.892,42,50327500,35.838764
2010-03-31,49.056,49.49,49.033,42.119999,52858500,35.941162
2010-04-01,50.088,50.65,50.088,43.220001,96281100,36.879795
2010-04-05,50.908,51.271,50.791,43.610001,63633700,37.212582
2010-04-06,50.908,51.377,50.873,43.740002,42926300,37.323513
2010-04-07,51.049,51.178,50.545,43.360001,55642000,36.999256
2010-04-08,50.474,51.049,50.228,43.509998,52083200,37.127247
2010-04-09,51.096,54.682,51.013,43.779999,46651000,37.357643
2010-04-12,50.92,51.178,50.896,43.43,43558300,37.05899
2010-04-13,50.756,50.849,50.287,43.34,47072900,36.982189
2010-04-14,51.318,51.588,51.084,43.98,42957800,37.528301
2010-04-15,51.213,51.541,51.154,43.740002,43463300,37.323513
2010-04-16,50.685,50.767,49.537,42.459999,142486200,36.231285
2010-04-19,49.174,49.666,48.81,42.290001,89434600,36.086216
2010-04-20,50.006,50.228,49.748,42.790001,63883700,36.512882
2010-04-21,50.053,50.123,49.525,42.650002,64141600,36.393414
2010-04-22,49.537,50.24,49.209,42.830002,72788900,36.547001
2010-04-23,50.029,50.521,49.795,43.060001,64724100,36.743275
2010-04-26,50.779,50.861,50.381,43.060001,46317300,36.743275
2010-04-27,49.9,50.017,48.552,41.52,132888400,35.42918
2010-04-28,49.232,49.291,48.388,41.869999,68981700,35.727833
2010-04-29,49.525,49.935,49.408,42.560001,69912900,36.316605
2010-04-30,49.853,50.029,49.232,42.049999,77528000,35.881428
2010-05-03,49.443,49.713,49.103,42.279999,47649800,36.077694
2010-05-04,48.494,48.529,47.146,40.34,159998800,34.422283
2010-05-05,46.384,47.181,45.974,39.610001,131994700,33.799366
2010-05-06,46.068,46.595,42.869,37.990002,225063100,32.417011
2010-05-07,44.955,45.517,43.654,38.189999,191265100,32.587666
2010-05-10,47.615,48.084,47.334,40.939999,187916400,34.934261
2010-05-11,46.877,47.814,46.759,40.200001,119869600,34.302822
2010-05-12,47.509,47.779,47.345,40.700001,73936600,34.729465
2010-05-13,47.697,47.966,47.216,40.32,71622500,34.405212
2010-05-14,46.912,46.947,45.822,39.490002,113085000,33.696972
2010-05-17,46.173,46.49,45.002,39.25,101708500,33.492176
2010-05-18,46.455,46.631,44.884,38.43,113529000,32.792477
2010-05-19,44.416,44.884,43.783,38.060001,129633400,32.476749
2010-05-20,42.904,43.431,42.189,36.169998,174383500,30.864006
2010-05-21,41.849,43.806,41.802,37.34,169452900,31.862364
2010-05-24,43.794,44.099,43.244,36.950001,90936400,31.529575
2010-05-25,41.568,42.904,41.263,36.549999,144257100,31.188253
2010-05-26,43.279,43.97,42.705,36.529999,128281900,31.171185
2010-05-27,44.486,45.482,44.158,38.740002,147181800,33.056984
2010-05-28,45.142,45.224,44.439,38.099998,113223700,32.510883
2010-06-01,44.193,45.037,43.806,37.400002,91068700,31.913565
2010-06-02,44.334,45.4,44.099,38.709999,103740800,33.031387
2010-06-03,45.658,45.716,44.627,38.57,70470800,32.911922
2010-06-04,44.228,44.673,43.466,37.200001,108937200,31.742905
2010-06-07,43.759,43.947,42.88,36.619999,82131900,31.247992
2010-06-08,43.396,43.959,42.869,37.459999,108438000,31.96476
2010-06-09,44.087,44.673,43.431,37.259998,87947600,31.794104
2010-06-10,44.58,45.248,44.509,38.560001,92855100,32.9034
2010-06-11,44.533,45.459,44.521,38.759998,66496500,33.074062
2010-06-14,45.986,46.291,45.318,38.77,83991300,33.082592
2010-06-15,45.939,46.865,45.763,39.939999,96494500,34.080956
2010-06-16,46.302,47.017,46.232,39.939999,63906600,34.080956
2010-06-17,46.935,46.947,46.185,39.740002,68660100,33.910297
2010-06-18,46.771,47.029,46.513,39.919998,64639800,34.063885
2010-06-21,48.002,48.201,47.228,40.610001,96721100,34.652668
2010-06-22,47.498,47.732,46.56,39.830002,100336600,33.987091
2010-06-23,46.394,46.429,45.695,39.669998,93969400,34.074707
2010-06-24,45.975,45.975,45.195,38.970001,82636000,33.473434
2010-06-25,45.497,46.021,45.136,39.43,60657800,33.868553
2010-06-28,45.87,45.986,45.439,39.16,36242500,33.636639
2010-06-29,44.356,44.403,43.541,37.57,120391400,32.270908
2010-06-30,43.96,44.356,43.332,37.32,84176700,32.056168
2010-07-01,43.658,43.821,42.796,37.59,113344200,32.288074
2010-07-02,43.891,44.193,43.576,37.75,63854500,32.42551
2010-07-06,45.078,45.451,44.31,38.450001,76509800,33.026775
2010-07-07,44.706,45.765,44.659,39.299999,68037800,33.756886
2010-07-08,45.835,46.021,45.381,39.490002,60958700,33.920097
2010-07-09,46.009,46.58,45.94,39.970001,43777100,34.33239
2010-07-12,46.347,46.615,45.951,39.650002,53211600,34.057533
2010-07-13,46.557,46.848,46.44,40.110001,52194800,34.452644
2010-07-14,46.394,46.731,46.231,40.029999,46615600,34.383934
2010-07-15,46.394,46.487,45.812,39.84,66745400,34.22073
2010-07-16,45.998,45.998,44.915,38.650002,99497500,33.198574
2010-07-19,45.427,45.695,45.113,39.16,46717800,33.636639
2010-07-20,45.288,46.731,45.264,40.080002,92255200,34.42688
2010-07-21,46.859,46.894,45.963,39.669998,66007400,34.074707
2010-07-22,46.987,47.663,46.941,40.869999,74052900,35.10545
2010-07-23,47.453,47.954,47.139,41.150002,65675400,35.345963
2010-07-26,47.814,48.28,47.628,41.43,64865500,35.58646
2010-07-27,48.501,48.559,47.907,41.360001,63763700,35.526344
2010-07-28,47.861,48.175,47.709,41.130001,43131400,35.328777
2010-07-29,48.384,48.489,47.604,41.200001,49588200,35.388908
