dateTime,open,low,high,close
03.01.2001,0.9507,0.9262,0.9569,0.9271
04.01.2001,0.9271,0.9269,0.9515,0.9507
05.01.2001,0.9507,0.9464,0.9591,0.9575
08.01.2001,0.9583,0.9462,0.9588,0.9467
09.01.2001,0.9467,0.9384,0.9477,0.9437
10.01.2001,0.9437,0.9361,0.9464,0.9366
11.01.2001,0.9366,0.9364,0.9549,0.9521
12.01.2001,0.9522,0.9468,0.9575,0.9508
15.01.2001,0.9521,0.9408,0.9521,0.9431
16.01.2001,0.9431,0.9371,0.9438,0.9421
17.01.2001,0.9421,0.9288,0.9442,0.936
18.01.2001,0.936,0.9352,0.946,0.9424
19.01.2001,0.9424,0.9337,0.9499,0.9346
22.01.2001,0.9345,0.9269,0.9401,0.9383
23.01.2001,0.9384,0.9343,0.9447,0.9346
24.01.2001,0.9346,0.9209,0.9369,0.9239
25.01.2001,0.9239,0.9114,0.9248,0.9244
26.01.2001,0.9244,0.9198,0.9314,0.9243
29.01.2001,0.9236,0.9159,0.9258,0.917
30.01.2001,0.9169,0.9143,0.9276,0.9262
31.01.2001,0.9262,0.9253,0.9374,0.9374
01.02.2001,0.9374,0.9365,0.9442,0.9374
02.02.2001,0.9369,0.9318,0.9417,0.9357
05.02.2001,0.9351,0.9351,0.9438,0.938
06.02.2001,0.938,0.9283,0.9383,0.9311
07.02.2001,0.9311,0.9257,0.9347,0.9285
08.02.2001,0.9285,0.9149,0.9298,0.9182
09.02.2001,0.9182,0.9131,0.927,0.9253
12.02.2001,0.9254,0.9247,0.9327,0.9321
13.02.2001,0.9321,0.917,0.9327,0.9205
14.02.2001,0.9204,0.9164,0.9216,0.9178
15.02.2001,0.9179,0.9024,0.9193,0.9053
16.02.2001,0.9054,0.905,0.9172,0.9146
19.02.2001,0.9126,0.912,0.9233,0.9211
20.02.2001,0.9211,0.9049,0.9236,0.9104
21.02.2001,0.9104,0.9056,0.918,0.9096
22.02.2001,0.9095,0.9014,0.9128,0.9031
