"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,44.035,44.57,44.035,39.959999,5928100,35.826599
2010-01-05,44.749,45.016,44.57,40.200001,7801400,36.041771
2010-01-06,44.704,45.15,44.704,40.360001,9715500,36.185215
2010-01-07,44.57,44.749,44.481,40,8008500,35.862453
2010-01-08,45.106,45.24,44.883,40.48,4221000,36.292801
2010-01-11,45.418,45.552,45.284,40.84,5207800,36.615566
2010-01-12,45.864,46.043,45.73,41.119999,7622100,36.866611
2010-01-13,45.73,46.176,45.686,41.360001,8881400,37.081783
2010-01-14,46.444,46.89,46.444,41.959999,6478200,37.619717
2010-01-15,46.846,46.935,46.221,41.880001,9396400,37.547989
2010-01-19,46.355,46.801,46.31,41.84,4339900,37.512127
2010-01-20,45.686,45.73,45.24,40.919998,8363100,36.68729
2010-01-21,46.132,46.221,45.596,41.119999,14103800,36.866611
2010-01-22,45.819,46.043,45.329,40.68,7058500,36.472126
2010-01-25,45.864,45.909,45.552,41,4211000,36.759014
2010-01-26,45.24,45.641,45.106,40.560001,6857000,36.364536
2010-01-27,44.883,45.106,44.615,40.32,7203200,36.149353
2010-01-28,44.927,44.972,44.303,39.919998,10078700,35.790733
2010-01-29,44.258,44.526,43.856,39.360001,9333800,35.288654
2010-02-01,44.347,44.436,44.169,39.759998,8146500,35.647274
2010-02-02,44.793,45.195,44.704,40.52,10421500,36.328667
2010-02-03,44.793,44.927,44.481,40.119999,8389400,35.970043
2010-02-04,43.946,44.035,43.589,39.360001,11501600,35.288654
2010-02-05,43.723,43.901,43.143,39.279999,11118800,35.21693
2010-02-08,43.678,43.856,43.321,39,6925300,34.9659
2010-02-09,43.901,44.08,43.544,39.240002,9333800,35.181072
2010-02-10,43.856,44.035,43.41,39.240002,8004400,35.181072
2010-02-11,43.678,44.08,43.5,39.439999,3969800,35.360382
2010-02-12,43.589,43.812,43.455,39.200001,4158600,35.14521
2010-02-16,43.678,44.258,43.5,39.599998,5112300,35.503819
2010-02-17,44.258,44.436,44.124,39.599998,3812400,35.503819
2010-02-18,44.124,44.347,43.99,39.68,3613400,35.575558
2010-02-19,43.544,43.767,43.366,39.040001,7393900,35.001751
2010-02-22,43.99,44.124,43.812,39.52,5019000,35.432098
2010-02-23,43.946,44.035,43.633,39.360001,6689600,35.288654
2010-02-24,43.856,44.258,43.812,39.439999,4033900,35.360382
2010-02-25,43.723,44.08,43.544,39.52,4555800,35.432098
2010-02-26,44.213,44.481,44.035,39.759998,4803600,35.647274
2010-03-01,44.749,44.972,44.615,40.16,6200700,36.005901
