"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,14.052,14.276,13.939,12.72,108500,11.342665
2010-01-05,14.287,14.287,13.939,12.58,162300,11.217819
2010-01-06,14.13,14.444,14.04,12.77,346300,11.387248
2010-01-07,14.332,14.859,14.276,13.24,187100,11.806358
2010-01-08,14.758,14.96,14.702,13.16,178500,11.735018
2010-01-11,14.825,14.825,14.5,12.98,141100,11.574509
2010-01-12,14.5,14.601,14.242,12.96,83300,11.556674
2010-01-13,14.545,14.691,14.478,12.99,223000,11.583426
2010-01-14,14.59,14.904,14.366,13.26,138300,11.824193
2010-01-15,14.904,14.915,14.253,13.09,256200,11.672599
2010-01-19,14.736,14.747,14.466,13,179300,11.592344
2010-01-20,14.433,14.489,13.962,12.49,243600,11.137568
2010-01-21,14.063,14.265,13.681,12.28,181300,10.950305
2010-01-22,13.738,13.895,13.412,12.08,133200,10.771961
2010-01-25,13.67,13.681,13.457,12.12,59200,10.807632
2010-01-26,13.569,13.603,13.435,12.02,109500,10.718461
2010-01-27,13.39,13.524,13.334,12.01,143100,10.709541
2010-01-28,13.48,13.48,13.143,11.82,124500,10.540114
2010-01-29,13.323,13.536,13.154,11.73,159500,10.45986
2010-02-01,13.188,13.334,12.863,11.86,136300,10.57578
2010-02-02,13.267,13.468,13.154,11.84,114300,10.557947
2010-02-03,13.244,13.468,13.121,11.88,92800,10.593616
2010-02-04,13.244,13.3,12.796,11.46,126700,10.219098
2010-02-05,12.863,12.997,12.594,11.59,125500,10.335018
2010-02-08,12.953,13.065,12.571,11.23,235000,10.014001
2010-02-09,12.762,12.885,12.582,11.41,140200,10.174512
2010-02-10,12.818,12.818,12.549,11.25,132600,10.031837
2010-02-11,12.571,12.773,12.526,11.38,328700,10.14776
2010-02-12,12.627,12.874,12.627,11.44,289700,10.201261
2010-02-16,12.885,12.975,12.695,11.45,243500,10.210179
2010-02-17,12.919,12.997,12.796,11.54,315800,10.290433
2010-02-18,12.975,13.233,12.941,11.77,134600,10.495529
2010-02-19,13.21,13.356,13.143,11.83,206300,10.54903
2010-02-22,13.267,13.457,13.244,11.96,274900,10.664958
2010-02-23,13.356,13.446,13.076,11.86,178300,10.57578
2010-02-24,13.3,13.401,13.166,11.8,132100,10.522282
2010-02-25,13.065,13.233,12.818,11.79,179200,10.513365
2010-02-26,13.233,13.311,13.065,11.72,179400,10.450947
2010-03-01,13.244,13.648,13.244,12.13,402500,10.816547
2010-03-02,13.659,13.906,13.154,11.94,648800,10.64712
2010-03-03,13.379,13.513,13.166,11.78,432300,10.504448
2010-03-04,13.323,13.367,13.177,11.82,194200,10.540114
2010-03-05,13.278,13.48,13.278,11.95,205100,10.656041
2010-03-08,13.334,13.501,13.122,11.77,293000,10.539627
2010-03-09,13.122,13.245,13.01,11.7,332900,10.476946
2010-03-10,13.032,13.278,13.01,11.77,179500,10.539627
2010-03-11,13.077,13.747,13.021,12.31,260400,11.02318
2010-03-12,13.769,13.892,13.624,12.41,241300,11.112728
2010-03-15,13.881,13.892,13.691,12.36,185000,11.067954
2010-03-16,13.814,13.892,13.725,12.37,143300,11.076904
2010-03-17,13.803,13.892,13.68,12.3,264200,11.014224
2010-03-18,13.769,13.959,13.769,12.46,125300,11.157501
2010-03-19,14.16,14.171,13.959,12.68,307600,11.354502
2010-03-22,14.037,14.473,14.015,12.94,153000,11.587324
2010-03-23,14.417,14.786,14.194,13.22,199700,11.838056
2010-03-24,14.663,14.763,14.462,12.98,266700,11.623142
2010-03-25,14.54,14.54,13.903,12.46,160100,11.157501
2010-03-26,14.004,14.015,13.736,12.36,152900,11.067954
2010-03-29,13.803,13.87,13.702,12.36,103200,11.067954
2010-03-30,13.87,14.116,13.736,12.54,128300,11.229137
2010-03-31,13.915,14.283,13.915,12.49,224300,11.184365
2010-04-01,14.138,14.339,13.959,12.58,153100,11.264954
2010-04-05,14.049,14.518,13.97,13,137400,11.641051
2010-04-06,14.395,14.54,14.294,12.83,120700,11.488823
2010-04-07,14.238,14.607,14.183,13.06,154700,11.694779
2010-04-08,14.495,14.529,14.406,12.91,79600,11.560459
2010-04-09,14.395,14.54,14.395,12.93,75300,11.578367
2010-04-12,14.417,14.573,14.372,12.98,198100,11.623142
2010-04-13,14.417,14.473,14.294,12.84,190500,11.497778
2010-04-14,14.372,14.495,14.294,12.95,183900,11.596279
2010-04-15,14.395,14.618,14.372,13.06,424900,11.694779
2010-04-16,14.607,14.685,14.395,13.08,172600,11.712689
2010-04-19,14.506,14.685,14.294,13.01,156700,11.650003
2010-04-20,14.495,14.853,14.495,13.25,142500,11.86492
2010-04-21,14.786,14.853,14.618,13.28,119800,11.891782
2010-04-22,14.652,14.964,14.652,13.36,208800,11.963419
2010-04-23,14.92,15.545,14.908,13.9,202600,12.446967
2010-04-26,15.545,15.59,15.322,13.92,252300,12.464881
