"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,144.447,144.638,144.126,143.860001,344000,143.544159
2010-01-05,144.207,144.407,143.565,143.460007,675600,143.145035
2010-01-06,143.595,144.397,143.505,143.889999,244700,143.574097
2010-01-07,143.505,143.575,143.134,142.970001,524900,142.656097
2010-01-08,143.986,144.467,143.084,143.910004,1134000,143.59404
2010-01-11,145.129,145.62,145.058,144.940002,635000,144.621811
2010-01-12,144.938,145.529,144.908,144.649994,560100,144.332443
2010-01-13,145.61,145.69,144.808,144.830002,231000,144.512054
2010-01-14,144.908,145.249,144.527,144.759995,283000,144.442154
2010-01-15,143.996,144.036,143.435,143.550003,777300,143.234863
2010-01-19,142.904,143.124,142.583,142.779999,482100,142.466553
2010-01-20,141.4,141.461,140.879,140.779999,458700,140.470917
2010-01-21,140.929,141.471,140.398,140.699997,402700,140.391113
2010-01-22,141.26,141.871,140.939,141.139999,309800,140.830139
2010-01-25,141.491,141.681,141.36,141.259995,295300,140.94986
2010-01-26,140.709,141.1,140.519,140.550003,258500,140.241425
2010-01-27,140.508,140.669,140.057,139.960007,542300,139.652725
2010-01-28,139.957,139.957,139.506,139.460007,486800,139.153809
2010-01-29,139.356,139.396,138.654,138.389999,587900,138.086197
2010-02-01,139.246,139.386,138.995,139.050003,356600,138.744736
2010-02-02,139.566,139.777,139.306,139.380005,234000,139.074005
2010-02-03,139.526,139.607,138.935,138.710007,528300,138.405472
2010-02-04,138.274,138.324,137.301,137.160004,1123000,136.858887
2010-02-05,136.911,137.111,135.898,136.399994,1265500,136.100525
2010-02-08,136.81,137.141,136.57,136.369995,668300,136.070602
2010-02-09,137.522,138.414,136.981,137.520004,1138700,137.218079
2010-02-10,137.372,137.612,136.84,137.059998,756500,136.759094
2010-02-11,136.69,137.001,136.009,136.589996,984900,136.290115
2010-02-12,135.768,136.43,135.548,135.869995,531400,135.571686
2010-02-16,136.55,137.793,136.48,137.410004,611400,137.108337
2010-02-17,137.051,137.141,135.878,135.820007,923800,135.52179
2010-02-18,136.059,136.58,135.578,135.860001,533200,135.561737
2010-02-19,135.187,136.099,134.866,135.649994,3046400,135.352173
