"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,50.493,50.99,50.261,47.709999,12508700,45.146393
2010-01-05,50.694,51.444,50.134,48.169998,13787800,45.581676
2010-01-06,51.698,52.913,51.476,49.34,19322600,46.688808
2010-01-07,52.142,52.173,51.307,49.099998,13312000,46.461708
2010-01-08,52.321,52.67,51.391,49.84,10719800,47.161942
2010-01-11,53.896,54.065,52.744,50.169998,12918100,47.474209
2010-01-12,52.29,52.702,50.662,48.349998,14794800,45.752003
2010-01-13,51.36,51.74,50.197,48.860001,9377500,46.234604
2010-01-14,51.55,51.708,50.747,48.599998,8445500,45.988567
2010-01-15,50.747,50.81,49.722,47.419998,14184100,44.871975
2010-01-19,50.028,50.525,49.965,47.689999,8578100,45.127468
2010-01-20,49.31,49.51,47.397,45.73,21228000,43.272785
2010-01-21,47.883,48.253,46.203,43.75,24757600,41.399181
2010-01-22,45.759,47.323,45.389,43.790001,26244900,41.437027
2010-01-25,46.974,47.069,45.579,43.189999,17791100,40.869274
2010-01-26,45.114,46.351,44.702,43.130001,17133300,40.812492
2010-01-27,45.378,45.695,44.195,42.77,18111200,40.471832
2010-01-28,45.579,45.685,43.497,42.169998,28262300,39.904068
2010-01-29,44.385,44.913,42.831,40.720001,22948500,38.53199
2010-02-01,43.592,45.389,43.54,42.939999,18770400,40.632698
2010-02-02,45.991,46.181,45.104,43,19421400,40.68948
2010-02-03,45.463,46.086,44.924,42.57,13517700,40.282585
2010-02-04,44.015,44.121,42.324,40.240002,25283400,38.077782
2010-02-05,42.462,44.818,41.722,42.41,33034700,40.13118
2010-02-08,44.66,44.924,43.085,40.779999,18173900,38.58876
2010-02-09,44.131,45.558,43.952,42.57,24227600,40.282585
2010-02-10,44.998,45.199,43.761,42.349998,15919300,40.074406
2010-02-11,45.008,46.742,44.723,43.990002,18114400,41.626286
2010-02-12,45.6,46.435,45.072,43.939999,16589900,41.578968
2010-02-16,47.735,47.798,47.101,44.91,15964000,42.496845
2010-02-17,47.45,47.915,46.847,44.709999,14755100,42.30759
2010-02-18,47.143,48.147,47.143,45.060001,15184500,42.638786
2010-02-19,46.953,48.348,46.72,44.57,15114000,42.175114
2010-02-22,47.534,47.566,46.372,44.09,12299900,41.720913
2010-02-23,46.425,46.604,44.586,42.5,15431400,40.216347
2010-02-24,44.628,45.495,44.417,42.25,12516800,39.979778
2010-02-25,44.237,46.171,43.698,43.450001,21464000,41.115299
2010-02-26,46.298,46.541,45.537,43.889999,10706200,41.531658
2010-03-01,46.71,47.323,45.96,44.639999,11664500,42.24136
2010-03-02,47.735,49.024,47.513,45.509998,21127800,43.064606
2010-03-03,48.887,49.584,48.57,46.360001,18235600,43.868935
2010-03-04,48.771,49.109,47.809,45.580002,15228300,43.13084
2010-03-05,48.559,49.384,48.549,46.43,13823000,43.935177
2010-03-08,49.426,49.648,48.411,45.950001,9919600,43.480961
2010-03-09,47.925,48.718,47.819,45.580002,10594100,43.13084
2010-03-10,48.401,48.76,47.133,44.959999,16057900,42.544163
2010-03-11,47.333,47.946,46.763,45.32,10309800,42.884819
2010-03-12,48.168,48.432,47.291,44.990002,9797100,42.572552
2010-03-15,47.682,47.767,46.837,44.939999,8384600,42.52523
2010-03-16,48.38,48.897,48.147,46.119999,14902600,43.641827
2010-03-17,48.823,49.426,48.749,46.27,15113900,43.783772
2010-03-18,49.003,49.5,48.105,45.970001,12704600,43.499893
2010-03-19,47.883,48.697,47.418,45.310001,17280500,42.875355
2010-03-22,47.196,47.862,46.72,45.139999,12044100,42.714493
2010-03-23,47.576,48.327,46.963,45.279999,11287100,42.846966
2010-03-24,46.911,47.027,45.833,43.5,18192200,41.162609
2010-03-25,46.477,46.551,45.146,42.91,14569900,40.604313
2010-03-26,45.611,46.435,45.178,43.709999,12771600,41.361324
2010-03-29,46.699,47.016,46.34,44.330002,9462600,41.948009
2010-03-30,46.963,47.048,46.065,43.860001,10072700,41.503269
2010-03-31,47.006,47.238,46.668,44.41,8492500,42.023716
2010-04-01,48.041,49.077,47.936,46.400002,12672400,43.906792
2010-04-05,49.521,49.891,49.035,46.900002,8188700,44.379925
2010-04-06,49.288,49.975,49.225,46.810001,9463300,44.29475
2010-04-07,50.007,51.254,49.827,48.18,14321100,45.591141
2010-04-08,50.726,51.106,50.313,48.189999,8628700,45.600605
2010-04-09,51.423,51.899,50.948,48.68,9311900,46.064274
2010-04-12,51.254,51.899,50.736,48.139999,8421500,45.553288
2010-04-13,50.747,50.789,49.521,47.75,10893000,45.184246
2010-04-14,50.969,51.201,50.313,48.09,7795500,45.505978
2010-04-15,50.683,51.032,50.25,47.57,5925400,45.013912
2010-04-16,49.69,50.144,48.327,46.650002,20720900,44.143356
2010-04-19,48.739,49.246,48.295,46.59,10560900,44.086575
2010-04-20,49.669,49.996,49.077,46.459999,6337400,43.963558
2010-04-21,49.352,49.891,48.993,46.98,8103800,44.455624
2010-04-22,49.056,50.049,48.665,47.360001,7762600,44.815197
2010-04-23,49.891,51.043,49.331,48.209999,9274400,45.61953
2010-04-26,50.99,51.317,50.631,48.130001,5567100,45.543827
2010-04-27,50.398,51.455,50.007,48.279999,17820100,45.685764
2010-04-28,51.222,53.188,51.085,49.700001,17930100,47.029465
2010-04-29,52.649,53.547,52.459,50.310001,9864000,47.606689
2010-04-30,53.759,54.467,53.368,50.509998,12778500,47.795944
