"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,311.449,312.721,310.103,311.349976,3937800,311.349976
2010-01-05,311.564,311.891,308.762,309.978882,6048500,309.978882
2010-01-06,310.908,310.908,301.221,302.164703,8009000,302.164703
2010-01-07,302.731,303.029,294.41,295.130463,12912000,295.130463
2010-01-08,294.087,299.676,292.652,299.06488,9509900,299.06488
2010-01-11,300.277,300.277,295.101,298.612823,14519600,298.612823
2010-01-12,296.894,297.147,292.1,293.332153,9769600,293.332153
2010-01-13,286.382,292.289,285.096,291.648102,13077600,291.648102
2010-01-14,290.063,295.18,289.522,293.019196,8535300,293.019196
2010-01-15,294.753,294.862,287.152,288.126007,10939600,288.126007
2010-01-19,288.722,293.302,286.283,291.911407,8689500,291.911407
2010-01-20,291.097,291.097,285.786,288.329681,6543600,288.329681
2010-01-21,289.835,291.514,284.276,289.606384,12697400,289.606384
2010-01-22,280.426,283.456,265.702,273.227905,13689200,273.227905
2010-01-25,271.529,273.163,266.025,268.255249,8897200,268.255249
2010-01-26,267.247,273.024,266.412,269.457428,8767600,269.457428
2010-01-27,268.886,272.056,265.925,269.298462,7980200,269.298462
2010-01-28,270.486,271.733,263.586,265.418701,6500100,265.418701
2010-01-29,267.505,268.747,261.107,263.257751,8334700,263.257751
2010-02-01,265.573,266.174,263.437,264.787811,4530800,264.787811
2010-02-02,265.752,265.752,262.1,263.843964,8245600,263.843964
2010-02-03,262.627,269.298,262.408,268.662598,6037000,268.662598
2010-02-04,266.765,267.262,261.082,261.687958,6799200,261.687958
2010-02-05,262.493,265.026,259.542,263.928406,6353000,263.928406
2010-02-08,264.529,269.249,264.048,265.011353,5423500,265.011353
2010-02-09,268.027,269.015,265.806,266.486755,5675700,266.486755
2010-02-10,265.309,267.157,262.14,265.498199,5383700,265.498199
2010-02-11,264.937,268.499,263.039,266.466888,4851300,266.466888
2010-02-12,264.763,266.839,263.536,264.837494,4589000,264.837494
