"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,34.267,34.959,34.2,31.25,11571600,28.01527
2010-01-05,34.892,35.505,34.568,31.65,18989700,28.373869
2010-01-06,35.405,36.353,35.293,32.400002,15720800,29.046228
2010-01-07,36.041,36.275,35.606,32.48,8993100,29.117941
2010-01-08,36.755,38.082,36.241,34.119999,23014600,30.588198
2010-01-11,38.718,38.896,37.234,33.779999,15943400,30.28339
2010-01-12,37,37.625,36.654,33.290001,15739600,29.844101
2010-01-13,37.201,38.16,37,34.049999,13885400,30.52544
2010-01-14,38.015,38.64,37.591,34.310001,12008000,30.758528
2010-01-15,38.138,38.249,37.335,34.029999,11967100,30.507496
2010-01-19,37.758,38.729,37.758,34.599998,12018100,31.018507
2010-01-20,38.037,38.193,36.821,33.27,17463600,29.826181
2010-01-21,37.089,37.39,36.253,32.529999,20825600,29.162773
2010-01-22,35.996,36.219,34.635,31.15,21577600,27.925615
2010-01-25,33.118,35.137,32.928,31.07,29815000,27.853899
2010-01-26,34.39,35.137,33.81,30.879999,18930800,27.683565
2010-01-27,34.278,34.434,32.795,30.41,19410700,27.262217
2010-01-28,34.39,34.39,32.75,29.65,16881400,26.580889
2010-01-29,33.442,34.2,32.36,29.209999,18196500,26.186432
2010-02-01,32.984,34.245,32.94,30.65,13821700,27.477375
2010-02-02,34.356,35.137,33.944,30.76,16414100,27.575993
2010-02-03,34.256,34.814,33.642,30.360001,11090200,27.217402
2010-02-04,33.43,33.43,32.025,28.860001,17959900,25.872663
2010-02-05,32.136,32.638,30.909,28.290001,22097000,25.361662
2010-02-08,31.601,32.371,31.289,28.1,16336400,25.19133
2010-02-09,31.858,33.107,31.858,29.08,20175400,26.069889
2010-02-10,32.36,32.917,31.791,29.23,12150700,26.204359
2010-02-11,32.627,33.72,32.203,30.16,14493200,27.038095
2010-02-12,33.007,33.553,32.817,30.02,14981300,26.912586
2010-02-16,34.222,34.736,33.944,31.049999,15028400,27.835972
2010-02-17,34.747,34.847,34.278,31.08,11394000,27.862864
2010-02-18,34.501,35.316,34.501,31.540001,11485800,28.275251
2010-02-19,35.048,35.784,34.791,31.790001,12130100,28.499372
2010-02-22,35.594,35.862,34.434,31.02,14988500,27.809076
2010-02-23,34.379,34.568,33.531,30.200001,14472400,27.073957
2010-02-24,33.799,34.066,33.118,30.01,18173300,26.903622
2010-02-25,32.772,33.564,32.348,30,13093300,26.894655
2010-02-26,33.386,33.642,32.874,30.15,12722900,27.110462
2010-03-01,33.875,34.42,33.764,30.75,11698800,27.649981
2010-03-02,34.431,35.221,34.298,31.209999,12519400,28.063597
2010-03-03,35.065,35.832,34.932,31.700001,10792800,28.504202
2010-03-04,35.343,35.465,34.665,31.450001,7605700,28.279406
2010-03-05,35.354,35.71,35.198,31.879999,8737400,28.666054
2010-03-08,35.477,36.021,34.765,31.41,10685000,28.243437
2010-03-09,34.642,34.754,34.02,30.91,14949900,27.793842
2010-03-10,34.309,34.62,33.53,30.639999,20693100,27.551062
2010-03-11,33.931,34.242,33.553,30.74,13677900,27.64098
2010-03-12,34.654,35.087,34.231,31.5,15641400,28.324368
2010-03-15,34.776,35.054,34.097,31.030001,10154400,27.901749
2010-03-16,34.776,35.51,34.665,31.709999,11203600,28.513189
2010-03-17,35.488,36.511,35.376,32.52,16965200,29.241533
2010-03-18,36.11,36.199,34.909,31.58,12179500,28.396296
2010-03-19,33.92,35.477,33.597,30.5,18790400,27.42518
2010-03-22,33.53,34.364,33.241,30.639999,11853300,27.551062
2010-03-23,34.164,34.676,33.953,30.709999,10179100,27.614008
2010-03-24,33.797,34.275,33.53,30.209999,9982800,27.164413
2010-03-25,33.92,34.086,32.852,29.57,14175800,26.588932
2010-03-26,33.141,33.219,32.529,29.360001,12483100,26.40011
2010-03-29,32.974,33.464,32.785,29.870001,12255000,26.858685
2010-03-30,33.319,33.653,33.197,30,11792700,26.97558
2010-03-31,33.642,33.73,33.297,30.129999,10508700,27.09248
2010-04-01,33.953,34.553,33.875,30.74,13189700,27.64098
2010-04-05,34.642,35.565,34.242,31.85,16571600,28.639082
2010-04-06,35.543,36.066,35.443,32.200001,9753700,28.953791
2010-04-07,35.877,35.932,34.92,31.629999,12860100,28.441261
2010-04-08,34.854,35.243,34.342,31.66,11112500,28.468239
2010-04-09,35.399,35.588,34.687,31.57,8299300,28.38731
2010-04-12,35.021,35.532,34.943,31.5,6770700,28.324368
2010-04-13,35.009,35.121,34.553,31.42,9046100,28.252424
2010-04-14,35.276,36.144,35.087,32.43,11950200,29.160612
2010-04-15,35.988,36.344,35.743,32.52,10454400,29.241533
2010-04-16,35.91,36.088,34.52,31.639999,16701400,28.450247
2010-04-19,34.987,36.11,34.665,31.57,21178300,28.38731
2010-04-20,35.521,37.367,35.477,33.310001,18422800,29.951895
2010-04-21,37.122,37.779,36.633,33.290001,15546600,29.933907
2010-04-22,36.611,37.679,36.355,33.73,11774900,30.329544
2010-04-23,37.856,39.169,37.734,34.959999,18852700,31.435547
2010-04-26,38.902,38.946,38.134,34.470001,11508600,30.994957
2010-04-27,37.979,38.034,36.322,32.810001,17140400,29.502293
2010-04-28,36.644,37.178,36.077,33.349998,12947000,29.987858
2010-04-29,37.345,37.934,32.518,31.6,73582700,28.414282
2010-04-30,33.03,34.954,32.318,30.65,60712200,27.560055
2010-05-03,33.286,35.999,33.041,31.389999,42907200,28.225451
2010-05-04,34.198,34.476,33.108,30.309999,24148000,27.254333
2010-05-05,33.085,34.298,32.63,29.98,25037700,26.957598
2010-05-06,33.308,33.63,29.994,28.75,31857600,25.851599
2010-05-07,30.683,31.829,29.694,27.51,30882600,24.736609
2010-05-10,31.684,31.896,29.871,27.59,38861900,24.808546
2010-05-11,30.049,32.351,29.994,28.34,28979300,25.482937
2010-05-12,31.684,32.807,31.684,29.09,20877400,26.157324
2010-05-13,33.208,33.219,32.174,29.01,20261500,26.08539
2010-05-14,32.563,32.618,30.872,28.09,19416900,25.258137
2010-05-17,31.64,31.873,30.038,27.85,18458100,25.042332
2010-05-18,31.417,32.073,30.428,27.639999,18210600,24.853508
2010-05-19,30.55,31.584,29.76,27.120001,20568900,24.385929
2010-05-20,29.149,29.782,28.237,26.219999,34147000,23.576662
2010-05-21,28.426,29.827,28.048,26.73,22840100,24.035246
2010-05-24,29.649,29.738,28.437,25.65,15975200,23.064127
2010-05-25,27.514,28.57,27.058,25.620001,25742800,23.037151
2010-05-26,28.782,29.471,28.648,25.879999,17683600,23.270933
2010-05-27,30.034,30.2,29.08,26.99,28424600,24.353725
2010-05-28,29.779,29.956,27.329,24.83,37082200,22.404707
2010-06-01,25.822,26.11,23.384,21.15,72573900,19.084154
2010-06-02,24.359,26.421,24.138,23.68,59768500,21.367035
2010-06-03,26.753,26.753,25.379,23.629999,31618000,21.32192
2010-06-04,26.199,26.587,25.368,23.110001,27956900,20.852703
2010-06-07,25.689,26.376,25.113,22.799999,21102900,20.572987
2010-06-08,25.39,25.756,24.659,23.02,26666200,20.7715
2010-06-09,25.678,26.842,24.681,22.559999,30861700,20.35643
2010-06-10,25.734,26.93,25.623,24.219999,23553000,21.854286
2010-06-11,26.653,27.44,26.376,24.389999,14346500,22.007679
2010-06-14,27.629,27.629,26.531,24.02,14358400,21.673822
2010-06-15,26.986,28.316,26.964,25.459999,16263200,22.973171
2010-06-16,28.161,29.69,28.15,26.25,28251500,23.686003
2010-06-17,29.313,29.524,28.814,26.389999,12975400,23.812332
2010-06-18,29.302,29.923,28.848,26.98,14032300,24.344709
2010-06-21,30.521,30.743,29.668,27.049999,18403500,24.407866
2010-06-22,29.912,30.255,28.67,25.99,18620300,23.451401
