"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,27.135,27.448,27.057,20.879999,47800900,15.997561
2010-01-05,27.331,27.396,26.887,20.870001,52357700,15.989902
2010-01-06,27.161,27.318,26.978,20.799999,40037400,15.936275
2010-01-07,27.057,27.096,26.548,20.6,54041500,15.783041
2010-01-08,26.809,27.266,26.626,20.83,48234700,15.95926
2010-01-11,27.553,27.605,27.174,20.950001,51086400,16.051203
2010-01-12,27.239,27.279,26.6,20.610001,69958400,15.7907
2010-01-13,27.044,27.514,26.678,20.959999,71446700,16.058863
2010-01-14,27.553,28.127,27.474,21.48,150821600,16.45727
2010-01-15,27.918,27.931,27.109,20.799999,198078600,15.936275
2010-01-19,27.279,27.631,27.213,21.049999,82573500,16.127815
2010-01-20,27.396,27.592,27.213,21.08,65670100,16.150805
2010-01-21,27.605,27.814,26.992,20.84,73633300,15.966922
2010-01-22,27.109,27.135,25.856,19.91,116302400,15.254382
2010-01-25,26.417,26.861,26.287,20.32,73785600,15.568511
2010-01-26,26.339,26.6,26.039,20,65298900,15.323339
2010-01-27,26.104,26.535,25.869,20.24,74926200,15.50722
2010-01-28,26.496,26.613,25.686,19.92,76974600,15.262049
2010-01-29,26.274,26.404,25.19,19.4,96053900,14.863641
2010-02-01,25.412,25.778,25.373,19.610001,50338300,15.024536
2010-02-02,25.686,26.156,25.53,19.91,63332500,15.254382
2010-02-03,25.613,25.742,25.211,19.68,45582300,15.198398
2010-02-04,25.341,25.354,24.538,19.02,90931100,14.688692
2010-02-05,24.732,25.354,24.603,19.469999,88711700,15.036216
2010-02-08,25.224,25.626,24.991,19.35,62563200,14.943544
2010-02-09,25.431,25.755,25.172,19.65,69454100,15.17523
2010-02-10,25.367,25.729,25.185,19.690001,56250600,15.206115
2010-02-11,25.418,26.156,25.315,20.059999,58837300,15.491858
2010-02-12,25.846,26.778,25.626,20.43,91108900,15.777604
2010-02-16,26.7,26.998,26.61,20.719999,69083400,16.001568
2010-02-17,27.011,27.011,26.584,20.66,47296700,15.955229
2010-02-18,26.726,26.998,26.61,20.84,42613600,16.094233
2010-02-19,26.83,27.153,26.648,20.82,40760000,16.078793
2010-02-22,27.128,27.141,26.739,20.870001,38730600,16.117403
2010-02-23,26.985,27.128,26.273,20.389999,62245300,15.746715
2010-02-24,26.571,26.946,26.545,20.700001,51070100,15.986116
2010-02-25,26.377,26.752,26.182,20.629999,48789400,15.932059
2010-02-26,26.674,26.778,26.454,20.530001,47795300,15.854836
2010-03-01,26.778,27.115,26.7,20.870001,51203300,16.117403
2010-03-02,27.179,27.309,26.649,20.700001,59399000,15.986116
2010-03-03,26.882,26.959,26.467,20.52,49909900,15.84711
2010-03-04,26.674,26.687,26.234,20.530001,62750100,15.854836
2010-03-05,26.752,26.985,26.48,20.790001,45879700,16.055622
2010-03-08,26.946,27.037,26.804,20.77,35742100,16.040178
2010-03-09,26.778,27.451,26.752,20.940001,83168700,16.171465
2010-03-10,27.128,27.568,27.076,21.190001,58435600,16.364538
2010-03-11,27.374,27.542,27.179,21.25,53778700,16.410866
2010-03-12,27.594,27.671,27.425,21.27,39584500,16.426317
2010-03-15,27.4,27.607,27.257,21.17,34378000,16.349087
2010-03-16,27.49,28.539,27.451,22.01,123060900,16.997799
2010-03-17,28.565,28.94,28.371,22.24,77805900,17.175423
2010-03-18,28.733,28.94,28.5,22.200001,54458500,17.144527
2010-03-19,28.811,28.992,28.241,21.99,77998500,16.982353
2010-03-22,28.319,28.876,28.28,22.24,47405700,17.175423
2010-03-23,28.992,29.458,28.953,22.67,64740900,17.507504
2010-03-24,29.174,29.355,28.902,22.43,54729000,17.322153
2010-03-25,29.381,29.432,28.889,22.35,52428700,17.260368
2010-03-26,29.044,29.251,28.578,22.24,45700500,17.175423
2010-03-29,29.031,29.122,28.824,22.33,34467900,17.244925
2010-03-30,29.005,29.186,28.72,22.34,37886300,17.252651
2010-03-31,28.902,29.135,28.746,22.290001,45983800,17.214037
2010-04-01,29.005,29.316,28.746,22.389999,45491000,17.291262
2010-04-05,29.109,29.329,28.927,22.59,34942900,17.445719
2010-04-06,29.044,29.109,28.824,22.4,47056500,17.298988
2010-04-07,29.044,29.368,28.811,22.450001,62539800,17.337599
2010-04-08,28.979,29.018,28.694,22.309999,40824500,17.229483
2010-04-09,29.005,29.225,28.953,22.549999,45528700,17.414831
2010-04-12,29.381,29.432,29.057,22.540001,49353000,17.407103
2010-04-13,29.329,29.549,29.096,22.77,122395600,17.584728
2010-04-14,30.52,30.676,30.132,23.52,159980600,18.163937
2010-04-15,30.857,31.556,30.818,24.219999,110819600,18.704529
2010-04-16,31.155,31.284,30.779,23.92,102974900,18.472843
2010-04-19,30.96,31.129,30.481,24,71310800,18.534624
2010-04-20,31.336,31.401,30.947,24.120001,65991400,18.627302
2010-04-21,31.206,31.245,30.481,23.799999,73899300,18.380177
2010-04-22,30.494,31.155,30.196,23.99,73666100,18.526909
2010-04-23,31.012,31.155,30.727,24.040001,56963700,18.565517
2010-04-26,31.181,31.245,30.831,23.82,57727600,18.395617
2010-04-27,30.727,30.922,30.171,23.35,78937600,18.032648
2010-04-28,30.313,30.378,29.666,23.26,109052100,17.963144
2010-04-29,30.209,30.442,30.171,23.49,59059400,18.140768
2010-04-30,30.365,30.378,29.536,22.84,81864000,17.638786
2010-05-03,29.756,30.352,29.653,23.26,55449900,17.963144
2010-05-04,29.691,29.717,29.005,22.559999,90704300,17.42255
2010-05-05,28.417,28.777,28.16,22.17,96854100,17.241735
2010-05-06,28.481,28.777,25.588,21.51,160695900,16.728445
2010-05-07,27.337,27.903,26.308,21.309999,139360500,16.572906
2010-05-10,28.661,29.008,28.494,22.549999,112607400,17.53726
2010-05-11,28.7,29.394,28.417,22.280001,102689700,17.327278
2010-05-12,29.06,29.754,28.918,23.09,83343400,17.957218
2010-05-13,29.613,29.793,28.751,22.5,62099000,17.498377
2010-05-14,28.533,28.558,27.684,21.889999,83526200,17.023975
2010-05-17,27.967,28.353,27.53,22.02,64550400,17.125082
2010-05-18,28.468,28.584,27.427,21.43,76636100,16.666233
2010-05-19,27.671,27.915,27.003,21.6,89530600,16.798443
2010-05-20,27.028,27.311,26.527,20.790001,106551000,16.168499
2010-05-21,26.244,27.221,25.948,20.91,111769100,16.261824
2010-05-24,26.938,27.285,26.501,20.67,56436100,16.075174
2010-05-25,25.871,26.835,25.755,20.85,96151400,16.215162
2010-05-26,27.131,27.645,26.617,20.700001,85666800,16.098501
2010-05-27,27.208,28.031,27.157,21.76,83236800,16.922873
2010-05-28,27.877,27.967,27.298,21.42,72712600,16.658453
2010-06-01,27.388,27.954,27.17,21.18,57164500,16.471804
2010-06-02,27.504,28.07,27.208,21.809999,61537200,16.961758
2010-06-03,28.237,28.288,27.607,21.9,54614400,17.031757
2010-06-04,27.697,27.774,26.732,20.950001,67919400,16.292933
2010-06-07,26.925,27.041,26.025,20.309999,65435200,15.795204
2010-06-08,26,26.012,25.382,20.18,91377800,15.6941
2010-06-09,26.218,26.488,25.537,19.93,58981200,15.499672
2010-06-10,26.167,26.488,26.038,20.549999,57168300,15.981849
2010-06-11,26.115,26.681,26.077,20.639999,49491800,16.051846
2010-06-14,26.938,27.183,26.771,20.889999,68877500,16.246267
2010-06-15,27.144,27.723,27.015,21.48,62082000,16.705116
2010-06-16,27.53,27.838,27.273,21.49,43764600,16.712893
2010-06-17,27.761,27.89,27.26,21.52,37270900,16.736223
2010-06-18,27.723,27.838,27.234,21.4,64872600,16.642899
2010-06-21,27.864,27.89,27.08,21.190001,48844300,16.479584
2010-06-22,27.17,27.427,26.822,20.98,58831100,16.316267
2010-06-23,26.925,27.028,26.565,20.809999,61352400,16.184055
2010-06-24,26.514,26.732,25.974,20.32,62003900,15.802979
2010-06-25,26.231,26.244,25.575,20.030001,94683200,15.577446
2010-06-28,25.858,26.475,25.601,20.360001,54468400,15.83409
2010-06-29,25.717,25.781,25.267,19.790001,79050800,15.390798
2010-06-30,25.331,25.755,24.945,19.450001,64294700,15.126376
2010-07-01,24.984,25.228,24.431,19.25,88020000,14.970834
2010-07-02,24.701,24.907,24.379,19.200001,58093400,14.931952
2010-07-06,25.138,25.408,24.752,19.48,60697600,15.149707
2010-07-07,25.022,25.935,24.932,20.139999,72806800,15.662991
2010-07-08,26.154,26.18,25.498,20.1,65407600,15.631882
2010-07-09,25.794,26.077,25.665,20.24,52843800,15.74076
2010-07-12,26.115,26.552,26.102,20.57,56587900,15.997402
2010-07-13,26.964,28.648,26.771,21.01,103191800,16.339594
2010-07-14,28.365,28.61,27.363,21.360001,199002600,16.61179
2010-07-15,27.44,27.761,27.015,21.51,118558200,16.728445
2010-07-16,27.555,27.62,27.003,21.02,80451500,16.347368
2010-07-19,27.221,27.787,27.208,21.59,63430400,16.790665
2010-07-20,27.208,27.941,27.131,21.65,72666400,16.83732
2010-07-21,27.735,27.838,27.234,21.26,71775300,16.534025
2010-07-22,27.453,28.263,27.44,21.780001,74465500,16.938425
2010-07-23,27.825,27.928,27.427,21.690001,62115500,16.868433
2010-07-26,27.877,27.954,27.53,21.709999,50929500,16.883987
2010-07-27,27.877,27.954,27.504,21.58,53975800,16.78289
2010-07-28,27.825,27.89,27.375,21.33,51673900,16.588463
2010-07-29,27.504,27.62,26.694,21.030001,83811400,16.355146
2010-07-30,26.707,26.9,26.462,20.6,67395900,16.020733
2010-08-02,26.874,27.363,26.655,21.15,50316200,16.448477
2010-08-03,27.015,27.041,26.63,20.870001,60929200,16.230717
2010-08-04,26.556,26.62,26.097,20.73,85639700,16.244429
2010-08-05,26.339,26.531,26.11,20.67,44475000,16.197411
2010-08-06,26.097,26.556,26.046,20.65,50833800,16.181738
2010-08-09,26.531,26.531,26.046,20.65,46082800,16.181738
2010-08-10,25.663,25.74,25.14,19.82,136352400,15.53134
2010-08-11,24.923,24.987,24.629,19.43,99079200,15.22572
2010-08-12,24.463,25.178,24.349,19.450001,86580600,15.241396
2010-08-13,24.668,24.872,24.438,19.15,57384800,15.00631
2010-08-16,24.425,24.961,24.387,19.469999,48721100,15.25707
2010-08-17,25.165,25.357,24.885,19.530001,60836400,15.304086
2010-08-18,24.923,25.242,24.846,19.59,58982400,15.351106
2010-08-19,24.208,24.412,24.004,18.9,159900400,14.810404
2010-08-20,24.144,24.246,23.94,18.91,95174400,14.818246
2010-08-23,24.144,24.221,23.736,18.700001,71954400,14.653686
2010-08-24,23.685,23.838,23.468,18.41,75107400,14.426432
2010-08-25,23.302,23.723,23.2,18.48,63350600,14.481286
2010-08-26,23.736,23.749,23.123,18.18,69586000,14.246199
2010-08-27,23.264,23.634,22.728,18.370001,135184300,14.395087
2010-08-30,23.289,23.366,22.894,17.959999,73718900,14.073805
2010-08-31,22.817,22.868,22.46,17.67,111601400,13.846557
2010-09-01,22.894,23.315,22.83,18.139999,73611500,14.214849
2010-09-02,23.264,23.391,23.072,18.280001,53192100,14.324566
2010-09-03,23.634,23.723,23.226,18.43,59143200,14.442106
2010-09-07,23.43,23.494,23.034,18.120001,58636500,14.199183
2010-09-08,23.021,23.034,22.651,17.9,101747000,14.026788
2010-09-09,23.034,23.072,22.881,18,65019600,14.10515
2010-09-10,22.907,23.098,22.766,17.969999,68814700,14.081638
2010-09-13,23.251,23.685,23.226,18.559999,73870900,14.543977
