"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,71.304,72.149,71.282,63.98,42863900,56.788948
2010-01-05,71.969,72.307,71.53,63.759998,55523100,56.593689
2010-01-06,71.834,72.217,71.586,63.700001,59708600,56.540424
2010-01-07,71.811,72.352,71.135,64.169998,56123500,56.957607
2010-01-08,72.037,72.69,71.879,64.519997,48811500,57.268269
2010-01-11,72.983,73.096,72.115,64.260002,51638900,57.037491
2010-01-12,71.946,72.284,71.27,63.560001,45854900,56.416157
2010-01-13,71.856,72.679,71.237,64.379997,39501900,57.14399
2010-01-14,72.262,73.028,72.127,64.620003,41859800,57.357029
2010-01-15,72.836,73.005,71.282,63.68,68725100,56.522682
2010-01-19,72.014,73.084,72.014,64.849998,46839000,57.561176
2010-01-20,72.544,72.555,71.192,63.91,62485000,56.726833
2010-01-21,72.059,72.645,70.572,62.860001,98323100,55.794838
2010-01-22,70.707,71.045,68.927,61.73,83757000,54.791836
2010-01-25,69.941,70.02,69.096,61.799999,62298700,54.853981
2010-01-26,69.366,69.885,68.882,61.189999,58213200,54.312542
2010-01-27,68.634,69.783,68.398,61.84,72565800,54.889481
2010-01-28,69.806,69.84,67.846,60.779999,93814200,53.948616
2010-01-29,68.758,69.502,67.564,60.110001,79325600,53.353912
2010-02-01,68.037,68.657,67.778,60.82,60731800,53.984127
2010-02-02,68.645,69.355,68.296,61.490002,71047700,54.578815
2010-02-03,68.95,69.434,68.262,61.080002,50241000,54.214905
2010-02-04,68.341,68.364,66.46,59.040001,99167300,52.404194
2010-02-05,66.663,66.843,65.344,59.27,106752200,52.608337
2010-02-08,66.561,67.147,66.043,58.68,61579200,52.084641
2010-02-09,66.899,67.519,66.189,59.490002,91986700,52.803616
2010-02-10,66.82,67.35,66.122,59.630001,55715500,52.927868
2010-02-11,66.989,68.296,66.471,60.580002,51969700,53.771107
2010-02-12,67.598,68.837,67.384,61.02,65909800,54.16164
2010-02-16,69.468,69.975,68.814,62.049999,50057600,55.075878
2010-02-17,70.256,70.538,69.84,62.470001,50459400,55.448677
2010-02-18,70.38,70.978,70.133,62.98,43072800,55.901344
2010-02-19,70.685,71.406,70.538,63.060001,56840800,55.972366
2010-02-22,71.451,71.485,71,63.25,45344900,56.140999
2010-02-23,71.158,71.259,70.223,62.509998,58965400,55.484177
2010-02-24,70.685,71.372,70.471,63.040001,50476000,55.954609
2010-02-25,70.054,71.113,69.828,63.060001,51949700,55.972366
2010-02-26,71.158,71.214,70.369,62.799999,60093900,55.741581
2010-03-01,71.27,72.465,71.27,64.260002,70967800,57.037491
2010-03-02,72.667,73.4,72.555,64.75,55605300,57.472404
2010-03-03,73.31,73.783,72.983,65.120003,56207500,57.800831
2010-03-04,73.389,73.648,73.084,65.290001,47174200,57.95171
2010-03-05,74.031,75.169,73.794,66.620003,52293900,59.132256
2010-03-08,75.078,75.405,74.943,66.739998,46046400,59.238747
2010-03-09,74.977,76.036,74.955,66.980003,70685800,59.451786
2010-03-10,75.529,76.498,75.495,67.550003,73655200,59.95771
2010-03-11,75.642,76.453,75.371,67.75,59964100,60.135235
2010-03-12,76.723,76.757,75.777,67.720001,61862000,60.108593
2010-03-15,76.25,76.397,75.484,67.489998,49862700,59.904449
2010-03-16,76.419,76.723,75.867,68.07,52874400,60.419262
2010-03-17,76.859,77.602,76.836,68.470001,53589100,60.774292
2010-03-18,77.106,77.489,76.768,68.260002,71527500,60.587894
2010-03-19,75.946,77.185,75.664,67.410004,80546500,59.833447
2010-03-22,75.405,77.185,75.236,68.360001,56679400,60.676674
2010-03-23,77.084,78.019,76.735,69.230003,61187700,61.448868
2010-03-24,77.185,77.51,76.701,68.269997,59664500,60.747707
2010-03-25,77.398,77.949,76.184,67.839996,66977000,60.365086
2010-03-26,76.555,77.061,75.926,67.809998,58114700,60.33839
2010-03-29,76.544,76.87,76.207,68.18,38646400,60.667625
2010-03-30,76.746,77.252,76.274,68.389999,35773100,60.854492
2010-03-31,76.566,77.331,76.184,67.800003,59821600,60.329491
2010-04-01,76.791,77.196,75.735,68.43,58838700,60.890091
2010-04-05,77.106,78.398,76.915,69.709999,52020600,62.029041
2010-04-06,78.072,78.994,77.915,70.120003,50203600,62.393867
2010-04-07,78.713,79.016,78.05,69.900002,71418200,62.198101
2010-04-08,78.331,78.893,77.724,69.830002,54603600,62.135811
2010-04-09,78.601,78.96,78.106,70.25,53070100,62.50956
2010-04-12,78.983,79.432,78.803,70.540001,49301000,62.767578
2010-04-13,79.106,79.5,78.601,70.699997,42151000,62.909939
2010-04-14,79.915,81.152,79.781,72.209999,62041600,64.253571
2010-04-15,81.118,81.567,81.017,72.43,55141800,64.449333
2010-04-16,81.185,81.444,79.724,71.459999,93241600,63.586216
