"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,37.86,38.454,37.823,30.950001,38409100,25.031296
2010-01-05,38.145,38.454,37.885,30.959999,49749600,25.039383
2010-01-06,38.182,38.429,37.737,30.77,58182400,24.885712
2010-01-07,37.873,37.959,37.329,30.450001,50559700,24.626907
2010-01-08,37.44,38.182,37.39,30.66,51197400,24.796747
2010-01-11,37.971,38.033,37.242,30.27,68754700,24.481335
2010-01-12,37.279,37.588,36.982,30.07,65912100,24.319574
2010-01-13,37.415,37.737,37.106,30.35,51863500,24.546034
2010-01-14,37.477,38.454,37.415,30.959999,63228100,25.039383
2010-01-15,38.429,38.627,37.971,30.860001,79913200,24.958502
2010-01-19,38.021,38.627,37.934,31.1,46575700,25.152609
2010-01-20,38.095,38.256,37.477,30.59,54849500,24.740135
2010-01-21,37.848,37.984,37.094,30.01,73086700,24.271053
2010-01-22,37.094,37.341,35.659,28.959999,102004600,23.421852
2010-01-25,36.154,36.673,35.981,29.32,63373000,23.713007
2010-01-26,36.104,36.908,35.968,29.5,66639900,23.858585
2010-01-27,36.29,36.871,35.882,29.67,63949500,23.996078
2010-01-28,36.896,36.933,35.721,29.16,117513700,23.583597
2010-01-29,36.97,36.995,34.2,28.18,193888500,22.791014
2010-02-01,35.103,35.214,34.522,28.41,85931100,22.977024
2010-02-02,35.078,35.239,34.794,28.459999,54413700,23.017466
2010-02-03,34.942,35.597,34.769,28.629999,61397900,23.154951
2010-02-04,35.091,35.239,34.386,27.84,77850000,22.516031
2010-02-05,34.621,34.967,34.089,28.02,80960100,22.661613
2010-02-08,34.633,34.72,34.089,27.719999,52820600,22.418978
2010-02-09,34.584,35.041,34.312,28.01,59195800,22.653524
2010-02-10,34.658,34.917,34.423,27.99,48591300,22.637348
2010-02-11,34.534,35.115,34.25,28.120001,65993700,22.742487
2010-02-12,34.386,34.695,34.101,27.93,81117200,22.58882
2010-02-16,34.62,34.915,34.484,28.35,51935600,23.035725
2010-02-17,35.112,35.259,34.903,28.59,45882900,23.230736
2010-02-18,35.186,35.727,35.087,28.969999,42856500,23.539501
2010-02-19,35.432,35.592,35.309,28.77,44451800,23.376986
2010-02-22,35.493,35.616,35.259,28.73,36707100,23.344486
2010-02-23,35.296,35.481,34.57,28.33,52266200,23.01947
2010-02-24,35.099,35.432,34.927,28.629999,43165900,23.263235
2010-02-25,34.792,35.259,34.484,28.6,48735300,23.238853
2010-02-26,35.259,35.506,35.087,28.67,40370600,23.295732
2010-03-01,35.407,35.752,35.112,29.02,43805400,23.58013
2010-03-02,35.789,36.059,34.755,28.459999,93123900,23.125099
2010-03-03,35.087,35.21,34.89,28.459999,48442100,23.125099
2010-03-04,35.026,35.259,34.792,28.629999,42890600,23.263235
