"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,50.675,50.85,50.61,46.419998,62822800,42.439434
2010-01-05,50.741,50.861,50.49,46.419998,62935600,42.439434
2010-01-06,50.752,50.916,50.391,46.139999,96033000,42.18346
2010-01-07,50.544,50.61,50.227,46.169998,77094100,42.210884
2010-01-08,50.391,50.916,50.238,46.549999,88886600,42.558292
2010-01-11,50.982,51.015,50.446,46.360001,104673400,42.384586
2010-01-12,50.402,50.468,49.8,45.779999,90673900,41.854317
2010-01-13,50.227,50.85,49.888,46.349998,100661000,42.375443
2010-01-14,50.599,50.883,50.555,46.389999,75209000,42.412018
2010-01-15,50.829,50.916,49.932,45.849998,126849300,41.918312
2010-01-19,50.271,51.015,50.26,46.59,84388200,42.594875
2010-01-20,50.599,50.971,49.691,45.919998,145680000,41.982315
2010-01-21,50.369,50.697,49.549,45.490002,204939600,41.589195
2010-01-22,49.593,49.746,48.171,44.16,171098700,40.373238
2010-01-25,48.597,48.783,48.258,44.310001,154218700,40.510372
2010-01-26,48.411,49.1,48.182,44.349998,140816500,40.546955
2010-01-27,48.422,49.057,48.138,44.700001,161632700,40.866936
2010-01-28,48.564,48.597,47.383,43.549999,221439800,39.815536
2010-01-29,48.028,48.149,46.628,42.790001,212099600,39.120716
2010-02-01,46.924,47.339,46.902,43.259998,136827100,39.550407
2010-02-02,47.394,47.886,47.066,43.650002,110727700,39.906975
2010-02-03,47.514,48.094,47.493,43.889999,93581600,40.1264
2010-02-04,47.657,47.755,46.617,42.619999,151652500,38.965298
2010-02-05,46.738,47.055,46.071,42.98,213618600,39.29443
2010-02-08,46.935,47.23,46.639,42.669998,94354400,39.01099
2010-02-09,47.23,47.591,46.771,43.110001,118956000,39.413277
2010-02-10,47.153,47.372,46.76,43.02,94102900,39.33099
2010-02-11,47.066,47.897,46.771,43.669998,93050800,39.925259
2010-02-12,47.339,47.996,47.208,43.759998,93938500,40.007538
2010-02-16,48.214,48.51,47.963,44.32,83861400,40.51952
2010-02-17,48.696,48.75,48.411,44.57,82691700,40.748074
2010-02-18,48.718,49.144,48.619,44.849998,65752600,41.004078
2010-02-19,48.925,49.275,48.805,44.830002,80416500,40.985779
2010-02-22,49.232,49.254,48.739,44.740002,72055000,40.903515
2010-02-23,48.904,48.936,48.072,44.16,95814400,40.373238
2010-02-24,48.554,48.991,48.477,44.610001,86591000,40.784653
2010-02-25,48.28,48.893,47.941,44.599998,97961300,40.775505
2010-02-26,48.772,49.068,48.564,44.759998,66222400,40.921787
2010-03-01,49.177,49.757,49.166,45.41,77290100,41.516052
2010-03-02,49.844,50.15,49.713,45.549999,76368500,41.644047
2010-03-03,49.943,50.118,49.691,45.599998,65735500,41.689766
2010-03-04,49.91,50.107,49.658,45.75,54470900,41.826897
2010-03-05,50.413,50.905,50.304,46.439999,68136300,42.457737
2010-03-08,50.818,51.015,50.796,46.529999,58712400,42.540005
2010-03-09,50.785,51.463,50.752,46.790001,98002800,42.777729
2010-03-10,51.211,51.715,51.19,47.169998,102578900,43.125134
2010-03-11,51.474,51.791,51.386,47.349998,67510300,43.289692
2010-03-12,51.955,51.988,51.518,47.360001,64068300,43.298836
2010-03-15,51.693,51.824,51.31,47.240002,60150500,43.189129
2010-03-16,51.835,52.076,51.66,47.540001,74950600,43.463394
2010-03-17,52.076,52.393,51.988,47.669998,75643500,43.582264
2010-03-18,52.185,52.371,52.065,47.830002,77829400,43.728535
2010-03-19,52.359,52.391,51.703,47.490002,86337100,43.464039
2010-03-22,51.681,52.566,51.627,47.919998,71902800,43.857586
2010-03-23,52.435,52.774,52.195,48.25,59182600,44.159611
2010-03-24,52.632,52.632,52.348,48.02,62995700,43.949108
2010-03-25,52.905,53.102,52.337,47.950001,76294800,43.885036
2010-03-26,52.61,52.807,52.162,48,78067900,43.930801
2010-03-29,52.708,52.883,52.555,48.23,57993300,44.141308
2010-03-30,52.861,53.047,52.512,48.389999,49437300,44.287739
2010-03-31,52.708,52.938,52.523,48.16,59947400,44.077229
2010-04-01,52.839,53.211,52.217,48.16,83728600,44.077229
2010-04-05,52.741,53.233,52.599,48.610001,56220300,44.489094
2010-04-06,52.992,53.429,52.872,48.75,54097100,44.61721
2010-04-07,53.189,53.397,52.85,48.630001,77211500,44.507381
2010-04-08,52.982,53.342,52.708,48.740002,68314300,44.608067
2010-04-09,53.266,53.593,53.134,49.029999,54227300,44.873474
2010-04-12,53.593,53.757,53.473,49.07,44280600,44.910076
2010-04-13,53.561,53.921,53.386,49.32,59376000,45.138901
2010-04-14,54.172,54.544,54.085,49.91,69004800,45.678879
2010-04-15,54.489,54.839,54.489,50.130001,72254200,45.880226
2010-04-16,54.577,54.762,53.757,49.529999,127388000,45.331093
2010-04-19,53.921,54.26,53.429,49.5,98251700,45.303638
2010-04-20,54.38,54.5,54.009,49.75,69543700,45.532436
2010-04-21,54.73,54.839,54.325,50.029999,74748700,45.7887
2010-04-22,54.14,55.025,53.823,50.310001,110477200,46.044975
2010-04-23,54.959,55.254,54.73,50.52,77205200,46.237164
