"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,40.04,40.3,39.87,40.27,11408300,40.27
2010-01-05,40.25,40.45,39.93,40.41,10450200,40.41
2010-01-06,40.32,41.19,39.89,40.970001,19789800,40.970001
2010-01-07,40.87,41.08,40.68,40.720001,10023700,40.720001
2010-01-08,40.63,41.17,40.45,40.93,9393500,40.93
2010-01-11,41.09,41.19,40.46,40.540001,8975900,40.540001
2010-01-12,40.07,40.36,39.53,39.630001,11960100,39.630001
2010-01-13,39.4,39.71,38.63,39.209999,15502700,39.209999
2010-01-14,39.3,39.44,38.88,39.060001,8575900,39.060001
2010-01-15,38.97,39.02,38.28,38.400002,12615300,38.400002
2010-01-19,38.07,38.95,38.03,38.93,8180300,38.93
2010-01-20,38.23,38.35,37.88,37.889999,11439300,37.889999
2010-01-21,38.22,38.41,37.09,37.240002,13717200,37.240002
2010-01-22,37.07,37.09,36.32,36.34,17901900,36.34
2010-01-25,36.5,36.99,36.41,36.810001,9052400,36.810001
2010-01-26,36.37,36.83,36.25,36.5,9104900,36.5
2010-01-27,36.54,36.74,35.61,36.080002,14804300,36.080002
2010-01-28,36.31,36.35,35.74,36.16,11589100,36.16
2010-01-29,36.38,36.5,35.5,35.639999,14358800,35.639999
2010-02-01,36.02,36.73,35.77,36.720001,10447400,36.720001
2010-02-02,36.84,37.93,36.77,37.529999,14650800,37.529999
2010-02-03,37.85,38.17,37.5,37.650002,18005700,37.650002
2010-02-04,37.12,37.14,35.5,35.799999,20847500,35.799999
2010-02-05,35.97,36.05,34.07,35.209999,29343500,35.209999
2010-02-08,35.08,35.37,34.69,35.09,12258500,35.09
2010-02-09,35.54,37.72,35.33,36.209999,12748900,36.209999
2010-02-10,36.09,36.7,35.55,36.509998,10322200,36.509998
2010-02-11,36.58,37.08,35.95,36.779999,11979600,36.779999
2010-02-12,36.15,36.37,35.6,36.310001,12564300,36.310001
2010-02-16,37.2,37.83,37.08,37.790001,15140100,37.790001
2010-02-17,37.68,37.98,37.47,37.970001,10328600,37.970001
2010-02-18,38.4,38.73,38.01,38.73,16157200,38.73
2010-02-19,38.66,39.09,38.43,39.09,16898200,39.09
2010-02-22,39.13,39.23,38.8,39.029999,11388500,39.029999
2010-02-23,38.64,38.71,38.1,38.330002,11264500,38.330002
2010-02-24,38.45,39.02,38.2,38.990002,9973300,38.990002
2010-02-25,37.85,38.14,37.53,38.110001,13960400,38.110001
2010-02-26,38.35,38.98,38.29,38.82,9106300,38.82
2010-03-01,39.05,39.14,38.02,38.349998,9702100,38.349998
2010-03-02,38.6,39.42,38.55,38.799999,10156600,38.799999
2010-03-03,39.07,39.56,38.7,39.400002,12433200,39.400002
2010-03-04,39.08,39.29,38.83,39.150002,9916700,39.150002
2010-03-05,39.62,39.96,39.57,39.849998,10045700,39.849998
2010-03-08,40.01,40.05,39.33,39.790001,7878300,39.790001
2010-03-09,39.34,39.87,39.31,39.549999,8030400,39.549999
2010-03-10,39.57,40.4,39.34,39.900002,15114200,39.900002
2010-03-11,39.84,40.05,39.65,40.049999,8074900,40.049999
2010-03-12,40.16,40.24,39.22,39.509998,11344100,39.509998
2010-03-15,39.13,39.14,38.5,38.830002,9729000,38.830002
2010-03-16,39.34,39.9,39.24,39.790001,12762800,39.790001
2010-03-17,40.18,40.4,39.77,40.23,12551300,40.23
2010-03-18,40.09,40.23,39.75,39.919998,7568900,39.919998
2010-03-19,39.2,39.97,38.85,39.200001,13827600,39.200001
2010-03-22,38.38,39.63,38.3,39.560001,10647300,39.560001
2010-03-23,39.39,39.83,39.25,39.700001,5562200,39.700001
2010-03-24,38.99,39.25,38.73,38.939999,8790500,38.939999
2010-03-25,39.32,39.49,38.88,38.900002,8986900,38.900002
2010-03-26,39.1,39.12,38.55,38.830002,7659700,38.830002
2010-03-29,39.32,40.11,39.29,39.959999,10412300,39.959999
2010-03-30,39.9,40.05,39.63,39.950001,6838300,39.950001
2010-03-31,40.4,40.63,39.91,40.290001,13428500,40.290001
2010-04-01,41.01,41.29,40.96,41.240002,9070000,41.240002
2010-04-05,41.52,42.11,41.44,42.07,7651100,42.07
2010-04-06,41.99,42.19,41.83,42.02,7332300,42.02
2010-04-07,41.99,42.09,41.45,41.52,8530300,41.52
2010-04-08,41.12,41.61,40.9,41.439999,6853700,41.439999
2010-04-09,41.57,41.73,40.81,41.169998,9041400,41.169998
2010-04-12,41.11,41.49,40.9,40.93,6363300,40.93
2010-04-13,40.87,41.07,40.28,40.889999,10593200,40.889999
2010-04-14,41.16,41.88,40.94,41.759998,12959800,41.759998
2010-04-15,41.89,41.96,41.5,41.709999,6862000,41.709999
2010-04-16,41.07,41.33,40.35,40.599998,17366600,40.599998
2010-04-19,39.68,40.11,39.67,40.110001,9630300,40.110001
2010-04-20,40.2,40.68,40.15,40.299999,6863500,40.299999
2010-04-21,40.41,40.61,39.87,40.27,11749100,40.27
2010-04-22,39.72,40.35,39.29,40.299999,6792300,40.299999
2010-04-23,40.03,40.96,39.88,40.950001,9150500,40.950001
2010-04-26,40.84,40.94,40.28,40.349998,7212600,40.349998
2010-04-27,40.1,40.54,39.32,39.369999,12229400,39.369999
2010-04-28,39.77,40.07,39.33,39.970001,10522500,39.970001
2010-04-29,40.62,41.08,40.62,41.040001,11384200,41.040001
2010-04-30,41.42,41.58,40.95,41.330002,13449600,41.330002
2010-05-03,41.3,41.9,41.29,41.459999,8342700,41.459999
2010-05-04,40.66,40.67,39.7,39.700001,16508500,39.700001
2010-05-05,38.23,39.24,38.18,38.310001,22325900,38.310001
2010-05-06,37.93,38.34,36,36.959999,24158000,36.959999
2010-05-07,36.73,36.98,35.85,36.310001,24880300,36.310001
2010-05-10,37.25,37.5,36.6,37.23,18315100,37.23
2010-05-11,36.93,37.38,36.63,36.759998,13807500,36.759998
2010-05-12,36.89,37.2,36.32,36.77,12924600,36.77
2010-05-13,36.31,36.67,36.08,36.130001,17562700,36.130001
2010-05-14,35.66,35.74,34.5,34.810001,24251700,34.810001
2010-05-17,34.45,34.52,33.45,33.880001,25858900,33.880001
2010-05-18,34.51,34.59,33.17,33.470001,23751800,33.470001
2010-05-19,33.27,33.63,32.68,33.509998,25889700,33.509998
2010-05-20,32.42,32.8,31.64,32.200001,30304300,32.200001
2010-05-21,31.83,32.72,31.7,32.27,23752300,32.27
2010-05-24,32.4,32.54,32.09,32.169998,11306600,32.169998
2010-05-25,30.98,31.89,30.93,31.85,17717000,31.85
2010-05-26,32.23,32.94,32.23,32.59,19075500,32.59
2010-05-27,33.54,34.33,33.4,34.310001,22844300,34.310001
2010-05-28,34.19,34.51,33.5,34.040001,10984900,34.040001
2010-06-01,33.65,34.6,33.13,33.18,14147700,33.18
2010-06-02,33.36,33.96,33.21,33.790001,10460200,33.790001
2010-06-03,33.65,34.42,33.22,34.259998,19412400,34.259998
