"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,34017.281,34037.762,33423.359,33495.039063,3500,33495.039063
2010-01-05,33546.238,33587.199,32798.719,32860.160156,3100,32860.160156
2010-01-06,32768,32870.398,31754.24,31948.800781,4300,31948.800781
2010-01-07,31948.801,32071.68,31047.68,31047.679688,4000,31047.679688
2010-01-08,31334.4,31385.6,30208,30228.480469,3500,30228.480469
2010-01-11,30003.199,30259.199,29603.84,29675.519531,3900,29675.519531
2010-01-12,30382.08,31354.881,30044.16,30607.359375,6000,30607.359375
2010-01-13,30515.199,31109.119,29767.68,30177.279297,4200,30177.279297
2010-01-14,30289.92,30464,29286.4,29440,4500,29440
2010-01-15,29706.24,30760.961,29470.721,30218.240234,6800,30218.240234
2010-01-19,30361.6,30382.08,28364.801,28487.679688,5700,28487.679688
2010-01-20,29122.561,29962.24,28436.48,28477.439453,7200,28477.439453
2010-01-21,28467.199,30187.52,27944.961,30023.679688,11100,30023.679688
2010-01-22,30464,33024,29992.961,32655.359375,11300,32655.359375
2010-01-25,31651.84,32808.961,31385.6,32348.160156,6500,32348.160156
2010-01-26,32737.279,32788.48,31272.961,32481.279297,7300,32481.279297
2010-01-27,32542.721,33525.762,31744,31744,8400,31744
2010-01-28,31334.4,32747.52,31232,31764.480469,6800,31764.480469
2010-01-29,31252.48,32952.32,30842.881,32399.359375,6600,32399.359375
2010-02-01,31784.961,31805.439,30781.439,30883.839844,3800,30883.839844
2010-02-02,30617.6,30720,29501.439,29716.480469,9300,29716.480469
2010-02-03,30095.359,30105.6,29286.4,29829.119141,3600,29829.119141
2010-02-04,30464,33187.84,30464,33136.640625,9200,33136.640625
2010-02-05,32686.08,35266.559,32184.32,33433.601563,15100,33433.601563
2010-02-08,33443.84,34242.559,32880.641,34109.441406,5500,34109.441406
2010-02-09,33320.961,34088.961,32419.84,33075.199219,6300,33075.199219
2010-02-10,33208.32,34273.281,32645.119,32860.160156,6200,32860.160156
2010-02-11,33177.602,33873.922,31887.359,32153.599609,4700,32153.599609
2010-02-12,33536,33792,32071.68,32184.320313,4000,32184.320313
2010-02-16,31488,31549.439,30341.119,30535.679688,5100,30535.679688
2010-02-17,30279.68,30371.84,29634.561,29634.560547,4600,29634.560547
2010-02-18,29900.801,29900.801,28282.881,28508.160156,6600,28508.160156
2010-02-19,28917.76,28917.76,27648,27699.199219,5600,27699.199219
2010-02-22,27412.48,28129.279,27054.08,27463.679688,6200,27463.679688
2010-02-23,27637.76,28743.68,27310.08,27934.720703,7900,27934.720703
2010-02-24,27842.561,28026.881,27238.4,27443.199219,4500,27443.199219
2010-02-25,28293.119,28897.279,27381.76,27381.759766,6700,27381.759766
2010-02-26,27289.6,27586.561,26726.4,26920.960938,4500,26920.960938
2010-03-01,26624,26644.48,26112,26255.359375,4600,26255.359375
2010-03-02,26030.08,26234.881,25712.641,25958.400391,5300,25958.400391
2010-03-03,25845.76,26040.32,25528.32,25856,7800,25856
2010-03-04,25876.48,26030.08,25528.32,25610.240234,3700,25610.240234
2010-03-05,25415.68,25600,24340.48,24586.240234,8700,24586.240234
2010-03-08,24545.279,24545.279,23777.279,24115.199219,12200,24115.199219
2010-03-09,24453.119,24770.561,23869.439,24360.960938,7400,24360.960938
2010-03-10,24289.279,24473.6,23736.32,24463.359375,6200,24463.359375
2010-03-11,24657.92,25047.039,24524.801,24657.919922,6300,24657.919922
2010-03-12,24320,24883.199,24156.16,24422.400391,4700,24422.400391
2010-03-15,24586.24,24893.439,24340.48,24473.599609,4200,24473.599609
2010-03-16,24401.92,24401.92,23572.48,23726.080078,6500,23726.080078
2010-03-17,23552,23623.68,22620.16,22927.359375,10700,22927.359375
2010-03-18,22917.119,22937.6,22497.279,22609.919922,8600,22609.919922
2010-03-19,22876.16,23255.039,22302.721,22876.160156,9700,22876.160156
2010-03-22,23418.881,23531.52,22384.641,22456.320313,8400,22456.320313
2010-03-23,22394.881,22661.119,22005.76,22026.240234,7400,22026.240234
2010-03-24,22394.881,22865.92,22231.039,22589.439453,8600,22589.439453
2010-03-25,22272,22855.68,21780.48,22845.439453,9700,22845.439453
2010-03-26,22753.279,23019.52,22323.199,22517.759766,8900,22517.759766
2010-03-29,22282.24,22446.08,22005.76,22097.919922,4900,22097.919922
2010-03-30,22272,22353.92,21780.48,21800.960938,6800,21800.960938
2010-03-31,22067.199,22118.4,21514.24,21514.240234,8400,21514.240234
2010-04-01,21237.76,21760,20746.24,21524.480469,9400,21524.480469
2010-04-05,21237.76,21422.08,20674.561,20705.279297,6300,20705.279297
2010-04-06,20869.119,20992,19968,20039.679688,7500,20039.679688
2010-04-07,20172.801,20715.52,19937.279,20480,10500,20480
2010-04-08,20613.119,21145.6,20111.359,20193.279297,10400,20193.279297
2010-04-09,20090.881,20254.721,19916.801,20019.199219,8000,20019.199219
2010-04-12,19978.24,20080.641,19732.48,19968,8700,19968
2010-04-13,20049.92,20480,19896.32,20172.800781,11300,20172.800781
