"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,69.638,70.708,69.482,58.810001,16928400,48.913971
2010-01-05,70.804,71.43,70.48,59.290001,17368100,49.313187
2010-01-06,71.321,72.355,71.165,60,24351900,49.903702
2010-01-07,71.826,72.151,71.297,59.91,17449500,49.828857
2010-01-08,71.778,72.56,71.526,60.299999,13344300,50.153229
2010-01-11,72.969,73.185,71.814,60.220001,19459900,50.086697
2010-01-12,71.297,71.79,70.985,59.349998,21510600,49.363102
2010-01-13,71.321,71.898,70.359,59.57,22137500,49.546066
2010-01-14,71.61,72.007,71.333,59.740002,15545400,49.687462
2010-01-15,71.742,71.898,70.756,59.259998,19055200,49.288227
2010-01-19,71.057,72.019,70.925,59.799999,14613100,49.737366
2010-01-20,71.129,71.129,70.239,58.869999,15641700,48.963871
2010-01-21,70.84,71.057,69.169,57.669998,25206600,47.965782
2010-01-22,69.001,69.398,67.498,56.299999,23028600,46.826321
2010-01-25,68.147,68.796,67.919,56.669998,15901200,47.13406
2010-01-26,67.57,68.893,67.233,56.310001,21515300,46.834641
2010-01-27,67.51,68.111,66.344,56.09,26616700,46.651665
2010-01-28,67.931,68.075,65.887,55.5,34430700,46.16095
2010-01-29,67.221,67.883,65.19,54.5,32802700,45.329212
2010-02-01,66.308,67.702,66.26,56.299999,21813300,46.826321
2010-02-02,67.943,68.7,67.39,57.040001,22250800,47.441803
2010-02-03,68.388,68.953,67.835,56.549999,19749300,47.034248
2010-02-04,67.45,67.474,65.165,54.23,37173200,45.104649
2010-02-05,65.19,65.502,63.326,54.240002,46378400,45.112957
2010-02-08,65.226,65.995,64.6,53.740002,24115100,44.697098
2010-02-09,65.502,66.801,65.298,54.869999,33558100,45.636948
2010-02-10,65.995,66.103,64.661,54.639999,24182300,45.445652
2010-02-11,65.562,66.957,65.274,55.57,22944500,46.219151
2010-02-12,66.007,66.873,65.574,55.59,19833900,46.235794
2010-02-16,67.69,68.652,67.618,56.900002,19834900,47.325375
2010-02-17,68.604,68.748,67.859,56.82,18137800,47.25882
2010-02-18,68.243,68.869,67.907,57.139999,16572700,47.524971
2010-02-19,68.448,69.205,68.123,57.360001,16498300,47.707943
2010-02-22,69.133,69.145,67.871,56.57,17349700,47.050888
2010-02-23,67.69,67.859,66.572,55.630001,21101200,46.269054
2010-02-24,66.861,67.558,66.656,55.98,17630300,46.560158
2010-02-25,66.344,67.378,65.791,56.009998,20948100,46.585114
2010-02-26,67.498,67.738,66.909,56.139999,17246800,46.693233
2010-03-01,67.811,68.292,67.75,56.66,13966000,47.125736
2010-03-02,68.568,69.205,68.424,57.130001,16746300,47.516655
2010-03-03,68.953,69.59,68.953,57.380001,16767300,47.724598
2010-03-04,69.097,69.313,68.34,57.080002,16331000,47.475071
2010-03-05,69.301,70.071,69.229,58.150002,15335200,48.365025
2010-03-08,70.107,70.347,69.506,58.060001,12612000,48.290169
2010-03-09,69.434,70.191,69.338,58.060001,16703800,48.290169
2010-03-10,69.879,70.516,69.554,58.57,17372200,48.714336
2010-03-11,70.155,70.432,69.939,58.470001,13033300,48.631176
2010-03-12,70.756,70.756,70.035,58.5,13659800,48.656116
2010-03-15,70.071,70.167,68.881,57.900002,18373600,48.157085
2010-03-16,69.963,70.311,69.41,58.419998,19161300,48.589588
2010-03-17,70.588,71.442,70.492,59.060001,21671800,49.121887
2010-03-18,71.009,71.117,69.566,58.18,19726900,48.389969
2010-03-19,68.628,69.791,68.005,57.279999,22412400,47.80822
2010-03-22,67.766,68.76,67.49,57.130001,19856500,47.683041
2010-03-23,68.604,68.82,68.161,57.349998,17420700,47.866646
2010-03-24,68.257,68.916,68.101,57.02,20747000,47.591217
2010-03-25,68.808,68.976,67.059,56.060001,22123000,46.789963
2010-03-26,67.394,67.622,66.759,56.080002,21493900,46.806664
2010-03-29,67.622,68.628,67.574,57.169998,19476000,47.716419
2010-03-30,68.652,68.736,68.185,57.259998,13057800,47.791534
2010-03-31,68.736,69.227,68.449,57.52,15167700,48.008545
2010-04-01,69.599,70.294,69.539,58.540001,17990100,48.859875
2010-04-05,70.569,71.516,70.33,59.580002,17455700,49.727909
2010-04-06,71.288,71.624,71.001,59.580002,13535800,49.727909
2010-04-07,71.216,71.264,70.27,58.990002,19535800,49.235466
2010-04-08,70.15,71.156,69.814,59.200001,19459700,49.410744
2010-04-09,71.396,71.803,71.288,59.830002,17488600,49.936569
2010-04-12,71.624,72.342,71.6,59.970001,15027800,50.053417
2010-04-13,71.755,71.935,70.845,59.759998,13855500,49.878132
2010-04-14,71.959,72.342,71.324,60.330002,14585600,50.353886
2010-04-15,72.199,72.534,71.971,60.32,13947200,50.345535
2010-04-16,71.863,72.187,70.581,59.299999,36664200,49.494202
2010-04-19,70.402,71.168,70.186,59.380001,21149100,49.560978
2010-04-20,71.684,72.798,71.624,60.540001,19666600,50.529156
2010-04-21,72.558,73.001,71.935,60.48,18571600,50.479084
2010-04-22,71.851,72.654,71.312,60.630001,10687000,50.604271
2010-04-23,72.666,74.391,72.57,62.09,26010900,51.822842
2010-04-26,74.523,74.643,74.02,61.880001,17262800,51.647591
2010-04-27,73.624,74.176,71.684,59.98,41402400,50.061749
2010-04-28,72.354,72.786,71.612,60.59,23095000,50.570885
2010-04-29,72.966,73.553,72.187,60.66,28860700,50.629307
2010-04-30,72.846,72.882,71.324,59.91,22916500,50.003326
2010-05-03,72.091,73.169,71.276,60.59,16689900,50.570885
2010-05-04,71.636,71.696,69.91,58.970001,30584400,49.218765
2010-05-05,69.359,70.509,68.916,58.040001,35206500,48.442554
