"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,17.587,17.841,17.551,11.933388,92942300,8.003462
2010-01-05,17.769,18.12,17.745,12.152721,96770000,8.150563
2010-01-06,18.108,18.229,17.975,12.177092,75492700,8.166908
2010-01-07,18.193,18.653,18.156,12.437043,117869100,8.341251
2010-01-08,18.447,18.544,18.29,12.363932,111866100,8.292219
2010-01-11,18.617,18.629,18.338,12.372055,72747200,8.297667
2010-01-12,18.302,18.387,18.059,12.193338,137613700,8.177805
2010-01-13,18.181,18.447,18.035,12.331438,100839400,8.270423
2010-01-14,18.326,18.532,18.278,12.388302,70844500,8.308562
2010-01-15,18.362,18.374,18.072,12.136475,118059300,8.139668
2010-01-19,18.023,18.338,17.926,12.29082,100437700,8.243186
2010-01-20,18.205,18.399,18.084,12.258327,99359400,8.221391
2010-01-21,18.265,18.387,17.563,11.909017,310007500,7.987115
2010-01-22,17.696,17.781,17.078,11.51909,260932200,7.725601
2010-01-25,17.418,17.49,17.103,11.584078,179396200,7.769187
2010-01-26,17.163,17.442,16.945,11.380991,151799700,7.632981
2010-01-27,17.018,17.418,16.945,11.657189,254674600,7.818221
2010-01-28,17.514,17.599,17.078,11.600325,275452000,7.780082
2010-01-29,17.418,17.648,17.127,11.51909,222839900,7.725601
2010-02-01,17.284,17.514,17.284,11.714053,155187700,7.856358
2010-02-02,17.478,17.684,17.405,11.827783,135155300,7.932632
2010-02-03,17.539,17.66,17.393,11.697806,131388600,7.845461
2010-02-04,17.284,17.309,16.679,11.194151,266891000,7.50767
2010-02-05,16.788,16.933,16.364,11.324127,315216000,7.594843
2010-02-08,16.921,16.921,16.521,11.096669,132199100,7.442294
2010-02-09,16.751,16.836,16.473,11.210398,190172300,7.518568
2010-02-10,16.739,17.03,16.63,11.299756,155220700,7.578499
2010-02-11,16.848,16.969,16.449,11.324127,92212200,7.594843
2010-02-12,16.691,16.897,16.582,11.332251,125390700,7.600291
2010-02-16,17.018,17.272,16.909,11.567831,134800900,7.758292
2010-02-17,17.381,17.381,17.224,11.608448,81067700,7.785532
2010-02-18,17.236,17.466,17.224,11.68156,73617300,7.834566
2010-02-19,17.309,17.575,17.296,11.746548,72633500,7.878154
2010-02-22,17.575,17.841,17.551,11.900893,86110600,7.981668
2010-02-23,17.66,17.793,17.357,11.68156,144519000,7.834566
2010-02-24,17.43,17.745,17.43,11.884646,87297400,7.970771
2010-02-25,17.478,17.696,17.369,11.852153,130407500,7.948978
2010-02-26,17.672,17.841,17.575,11.925264,129857800,7.998012
2010-03-01,17.841,17.878,17.72,11.957758,65465300,8.019806
2010-03-02,17.878,18.059,17.866,11.998375,71151500,8.047046
2010-03-03,17.914,18.035,17.854,12.006498,69710900,8.052492
2010-03-04,17.95,18.096,17.926,12.128351,65092600,8.134218
2010-03-05,18.181,18.471,18.156,12.363932,99635600,8.292219
2010-03-08,18.471,18.544,18.435,12.388302,66161900,8.308562
2010-03-09,18.374,18.653,18.314,12.42892,110608000,8.335803
2010-03-10,18.653,18.847,18.617,12.567019,123834000,8.428426
2010-03-11,18.689,18.907,18.665,12.672624,75285900,8.499251
2010-03-12,19.053,19.053,18.738,12.623883,125183400,8.466561
2010-03-15,18.714,18.859,18.617,12.623883,86475900,8.466561
2010-03-16,18.883,19.065,18.835,12.778229,92828300,8.570077
2010-03-17,19.162,19.343,19.137,12.932575,113668800,8.673594
2010-03-18,19.247,19.271,19.053,12.859464,91978800,8.624559
2010-03-19,18.961,19.179,18.889,12.745735,110142600,8.567766
2010-03-22,18.768,19.07,18.756,12.810723,78909100,8.611452
