"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,87.888,88.578,87.21,69.150002,27809100,54.068794
2010-01-05,88.489,88.821,87.99,69.419998,30174700,54.279907
2010-01-06,88.821,90.292,88.681,70.019997,35044700,54.749043
2010-01-07,89.397,89.602,88.783,69.800003,27192100,54.577045
2010-01-08,89.128,89.205,88.527,69.519997,24891800,54.358093
2010-01-11,89.448,90.19,89.077,70.300003,30685000,54.967983
2010-01-12,89.167,89.512,88.911,69.949997,31496700,54.694321
2010-01-13,89.474,89.576,88.578,69.669998,24884400,54.475391
2010-01-14,88.937,89.192,88.694,69.68,18630800,54.483204
2010-01-15,89.077,89.128,87.798,69.110001,29411900,54.037533
2010-01-19,87.913,88.694,87.504,69.269997,26081900,54.162628
2010-01-20,87.683,87.811,86.877,68.029999,34629500,53.193066
2010-01-21,87.12,87.159,85.049,66.699997,39114000,52.15313
2010-01-22,85.074,85.867,84.409,66.099998,39085500,51.683975
2010-01-25,85.113,85.381,84.013,65.849998,29305100,51.488499
2010-01-26,83.949,85.356,83.77,65.919998,34083300,51.54324
2010-01-27,83.974,84.486,83.13,65.540001,35723500,51.246109
2010-01-28,84.217,84.217,82.58,64.959999,37349800,50.792614
2010-01-29,83.322,84.179,81.877,64.43,40880500,50.378212
2010-02-01,84.115,84.933,83.578,66.18,37703000,51.746536
2010-02-02,85.343,85.842,85.01,66.959999,34057900,52.356422
2010-02-03,85.535,85.982,85.125,66.599998,24024700,52.074936
2010-02-04,84.754,84.857,82.721,64.720001,33858200,50.604954
2010-02-05,82.747,83.002,81.289,64.800003,42297500,50.667507
2010-02-08,82.477,83.214,81.753,64.349998,30519400,50.643894
2010-02-09,82.731,83.494,82.032,65.199997,36243300,51.312836
2010-02-10,82.693,82.871,81.524,64.849998,21699100,51.037392
2010-02-11,82.198,83.201,81.842,65.239998,23555200,51.344322
2010-02-12,82.109,82.769,81.677,64.800003,30636200,50.998055
2010-02-16,83.15,84.345,82.693,66.279999,30514900,52.162811
2010-02-17,84.294,84.434,83.316,65.760002,21821800,51.753563
2010-02-18,83.608,83.976,83.036,65.959999,22536700,51.910984
2010-02-19,83.341,84.167,83.138,65.870003,24264600,51.840137
2010-02-22,83.989,84.015,82.909,65.400002,20469700,51.470257
2010-02-23,82.922,83.303,81.511,64.940002,33372900,51.108234
2010-02-24,82.604,83.697,82.299,65.550003,21469600,51.58831
2010-02-25,82.096,82.807,81.791,65.139999,25668800,51.265636
2010-02-26,82.922,83.1,82.49,65,20129700,51.155453
2010-03-01,83.049,83.278,82.706,65.400002,18798600,51.470257
2010-03-02,83.43,83.595,82.782,65.489998,24823900,51.541077
2010-03-03,83.57,83.824,83.074,65.43,22279800,51.493858
2010-03-04,83.036,83.392,82.693,65.400002,21961100,51.470257
2010-03-05,83.811,84.523,83.582,66.470001,26837900,52.312355
2010-03-08,84.84,84.866,84.154,66.480003,20297200,52.320229
2010-03-09,84.269,85.374,84.142,66.779999,29003100,52.55632
2010-03-10,85.336,85.666,84.853,67.220001,24810300,52.902607
2010-03-11,85.628,85.844,85.107,67.220001,19357400,52.902607
2010-03-12,85.87,85.87,84.497,66.800003,23361800,52.572056
2010-03-15,84.713,84.739,83.735,66.300003,22070000,52.178566
2010-03-16,84.561,84.726,83.862,66.57,35103700,52.391052
2010-03-17,85.018,86.136,84.879,67.360001,38770000,53.012783
2010-03-18,85.768,86.073,85.145,67.389999,25925500,53.036396
2010-03-19,85.183,86.264,84.408,67.040001,45564200,52.760944
2010-03-22,84.485,85.387,84.269,66.970001,21390600,52.705853
2010-03-23,85.056,85.107,84.434,66.949997,24754700,52.690113
2010-03-24,84.586,84.955,84.154,66.5,19748800,52.335964
2010-03-25,84.891,85.031,84.167,66.300003,21095600,52.178566
2010-03-26,84.421,84.98,84.078,66.540001,30553400,52.367447
2010-03-29,84.701,85.743,84.612,67.300003,26122200,52.965569
2010-03-30,85.374,85.514,84.866,67.050003,17745900,52.76881
2010-03-31,85.056,85.374,84.624,66.980003,22352500,52.713722
2010-04-01,85.476,86.149,85.374,67.610001,19614700,53.209538
2010-04-05,86.2,86.861,86.048,68.190002,20901100,53.666012
2010-04-06,86.391,86.848,86.149,67.900002,19776800,53.437778
2010-04-07,86.187,86.213,85.095,67.339996,24531500,52.997044
2010-04-08,85.145,86.683,84.942,67.860001,24060800,53.406281
2010-04-09,86.543,87.649,86.492,68.760002,21099600,54.114601
2010-04-12,87.42,87.737,87.14,68.709999,18170300,54.075241
2010-04-13,87.001,87.369,86.492,68.660004,19177100,54.035892
2010-04-14,87.318,87.445,86.861,68.610001,18777800,53.99654
2010-04-15,87.039,87.318,86.594,68.260002,16712900,53.721088
2010-04-16,86.556,87.293,86.035,67.93,33855100,53.461391
2010-04-19,86.086,86.962,85.857,68.230003,25686000,53.697472
2010-04-20,87.191,87.953,87.039,68.970001,22989500,54.279873
