"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,45.04,45.266,44.818,30.572857,123432400,20.696493
2010-01-05,45.287,45.496,45.002,30.625713,150476200,20.732279
2010-01-06,45.24,45.42,44.474,30.138571,138040000,20.402502
2010-01-07,44.685,44.738,44.116,30.082857,119282800,20.364788
2010-01-08,44.379,44.738,44.118,30.282858,111902700,20.500179
2010-01-11,44.907,44.949,43.989,30.015715,115557400,20.319336
2010-01-12,44.145,44.267,43.561,29.674286,148614900,20.088202
2010-01-13,43.866,44.512,43.071,30.092857,151473000,20.371561
2010-01-14,44.339,44.413,44.109,29.918571,108223500,20.253574
2010-01-15,44.512,44.654,43.444,29.418571,148516900,19.915094
2010-01-19,43.964,45.411,43.734,30.719999,182501900,20.796104
2010-01-20,45.352,45.487,44.21,30.247143,153038200,20.476
2010-01-21,44.755,45.015,43.727,29.724285,152038600,20.122047
2010-01-22,43.636,43.788,41.606,28.25,220441900,19.124025
2010-01-25,42.735,43.198,42.246,29.01,266424900,19.638506
2010-01-26,43.461,45.099,42.75,29.42,466777500,19.916063
2010-01-27,43.651,44.438,42.107,29.697144,430642100,20.103672
2010-01-28,43.246,43.366,41.931,28.469999,293375600,19.272951
2010-01-29,42.434,42.67,40.148,27.437143,311488100,18.573753
2010-02-01,40.596,41.362,40.37,27.818571,187469100,18.831961
2010-02-02,41.343,41.429,40.809,27.98,174585600,18.941244
2010-02-03,41.186,42.248,41.028,28.461428,153832000,19.267147
2010-02-04,41.516,41.862,40.427,27.435715,189413000,18.572784
2010-02-05,40.65,41.362,40.275,27.922857,212576700,18.902557
2010-02-08,41.296,41.758,40.94,27.731428,119567700,18.77297
2010-02-09,41.45,41.678,41.098,28.027143,158221700,18.973154
2010-02-10,41.338,41.488,40.994,27.874287,92590400,18.869675
2010-02-11,41.125,42.153,40.952,28.381428,137586400,19.212997
2010-02-12,41.807,42.552,41.256,28.625713,163867200,19.378365
2010-02-16,42.615,42.984,42.526,29.057142,135934400,19.67042
2010-02-17,43.09,43.115,42.387,28.935715,109099200,19.588223
2010-02-18,42.55,43.027,42.4,28.99,105706300,19.624966
2010-02-19,42.598,42.881,42.44,28.809999,103867400,19.50312
2010-02-22,42.7,42.733,42.035,28.631428,97640900,19.382231
2010-02-23,42.206,42.486,41.3,28.151428,143773700,19.057297
2010-02-24,41.832,42.51,41.75,28.665714,115141600,19.405443
2010-02-25,41.653,42.809,41.549,28.857143,166281500,19.535032
2010-02-26,42.708,43.297,42.628,29.231428,126865200,19.788408
2010-03-01,43.419,44.21,43.356,29.855715,137523400,20.211018
2010-03-02,44.301,44.491,43.839,29.835714,141636600,20.197483
2010-03-03,44.092,44.289,43.881,29.904285,93013200,20.2439
2010-03-04,44.164,44.51,44.027,30.101429,91510300,20.377357
2010-03-05,45.358,46.363,45.293,31.278572,224905100,21.174236
2010-03-08,46.428,46.445,46.057,31.297142,107472400,21.186804
2010-03-09,46.07,47.481,45.981,31.860001,230064800,21.567835
2010-03-10,47.235,47.583,47.102,32.119999,149054500,21.743849
2010-03-11,47.251,47.587,47.127,32.214287,101425100,21.807678
2010-03-12,47.982,48.058,47.64,32.371429,104080900,21.914051
2010-03-15,47.562,47.587,46.479,31.977142,123375700,21.647135
2010-03-16,47.308,47.477,46.956,32.064285,111727000,21.706127
2010-03-17,47.46,47.787,47.116,32.017143,112739200,21.674217
2010-03-18,47.291,47.481,46.977,32.092857,85527400,21.72547
2010-03-19,47.437,47.532,46.686,31.75,139861400,21.49337
2010-03-22,46.525,47.692,46.458,32.107143,114104900,21.73514
2010-03-23,47.616,48.279,47.291,32.622856,150607800,22.084255
2010-03-24,48.039,48.579,48.011,32.767143,149445100,22.181929
2010-03-25,48.731,48.741,47.745,32.378571,135571100,21.918886
2010-03-26,48.315,48.948,48.231,32.985714,160218800,22.329893
2010-03-29,49.17,49.353,48.878,33.19857,135186100,22.473989
2010-03-30,49.929,50.115,49.433,33.692856,131827500,22.808598
2010-03-31,49.695,49.931,49.478,33.57143,107664900,22.726398
2010-04-01,50.1,50.379,49.117,33.709999,150786300,22.820208
2010-04-05,49.587,50.332,49.543,34.07,171126900,23.063911
2010-04-06,50.267,50.697,50.014,34.220001,111754300,23.165457
2010-04-07,50.552,51.052,50.364,34.371429,157125500,23.267965
2010-04-08,50.74,50.972,50.233,34.278572,143247300,23.205103
2010-04-09,50.949,51.046,50.744,34.541428,83545700,23.383047
2010-04-12,51.111,51.295,51.029,34.612858,83256600,23.431398
2010-04-13,51.039,51.238,50.881,34.632858,76552700,23.444941
2010-04-14,51.761,51.873,51.506,35.098572,101019100,23.76021
2010-04-15,51.867,52.552,51.81,35.560001,94196200,24.072575
2010-04-16,52.455,52.998,51.607,35.342857,187636400,23.925577
2010-04-19,52.13,52.312,51.02,35.295715,141731100,23.893663
2010-04-20,52.449,52.599,51.271,34.941429,184581600,23.65383
2010-04-21,54.614,54.92,53.966,37.031429,245597800,25.068672
2010-04-22,54.496,56.292,54.066,38.067142,198356200,25.769798
2010-04-23,56.554,57.438,56.345,38.689999,199238900,26.19145
2010-04-26,57.374,57.497,56.596,38.5,119767200,26.06283
2010-04-27,56.402,56.522,54.977,37.434284,177335900,25.341383
2010-04-28,55.553,55.712,54.11,37.371429,189600600,25.298836
2010-04-29,55.505,56.978,55.292,38.377144,139710200,25.979658
2010-04-30,56.832,57.098,55.078,37.298573,135615900,25.24951
2010-05-03,55.678,56.53,55.475,38.049999,113585500,25.758198
2010-05-04,55.477,55.562,54.182,36.954285,180954900,25.016443
2010-05-05,53.397,54.475,52.489,36.57,220775800,24.756298
2010-05-06,53.565,54.498,42.047,35.17857,321465200,23.814365
2010-05-07,51.43,52.033,47.526,33.694286,419004600,22.809572
2010-05-10,52.81,53.738,52.447,36.284286,246076600,24.562885
2010-05-11,53.145,54.844,52.863,36.645714,212226700,24.807554
2010-05-12,54.707,55.528,54.593,37.441429,163594900,25.34622
2010-05-13,55.547,55.923,54.108,36.908573,149928100,24.985498
2010-05-14,53.846,54.125,52.652,36.259998,189840700,24.546446
2010-05-17,53.749,54.061,52.274,36.317142,190708700,24.585127
2010-05-18,54.23,54.561,52.812,36.05143,195669600,24.405256
2010-05-19,52.652,53.373,51.67,35.477142,256431700,24.016483
2010-05-20,51.044,51.459,49.847,33.965714,320728800,22.993319
2010-05-21,49.132,51.596,48.821,34.617142,305972800,23.434292
2010-05-24,52.183,52.947,51.968,35.251427,188559700,23.863684
2010-05-25,50.51,52.073,50.048,35.031429,262001600,23.714752
2010-05-26,52.774,53.207,51.438,34.872856,212663500,23.607407
2010-05-27,52.884,53.578,52.569,36.192856,166570600,24.50099
2010-05-28,54.739,54.741,53.464,36.697144,203903700,24.842371
2010-06-01,54.802,56.121,54.648,37.261429,219118200,25.224365
2010-06-02,55.825,55.88,54.937,37.707142,172137000,25.526098
2010-06-03,55.961,56.039,54.954,37.58857,162526700,25.445831
2010-06-04,54.49,55.268,53.734,36.565716,189576100,24.753403
2010-06-07,54.507,54.688,52.873,35.848572,221735500,24.267925
2010-06-08,53.441,53.559,51.839,35.618572,250192600,24.112225
2010-06-09,53.067,53.158,51.172,34.742859,213657500,23.519402
2010-06-10,51.668,52.964,51.111,35.787144,194089000,24.226339
2010-06-11,52.384,53.572,52.202,36.215714,136439800,24.516464
2010-06-14,54.015,54.688,53.603,36.325714,150740100,24.590931
2010-06-15,53.947,54.836,53.918,37.098572,146268500,25.114126
2010-06-16,55.1,56.503,55,38.17857,195919500,25.845232
2010-06-17,57.104,57.59,56.872,38.83857,218213800,26.292021
2010-06-18,57.453,58.033,57.277,39.152859,196155400,26.504786
2010-06-21,58.601,58.879,56.71,38.595715,194122600,26.127619
2010-06-22,57.434,58.238,57.294,39.121429,179315500,26.483511
2010-06-23,57.944,57.961,56.535,38.709999,192114300,26.204983
2010-06-24,57.189,57.653,56.577,38.42857,178569300,26.014471
2010-06-25,56.99,57.035,56.093,38.099998,137485600,25.792046
2010-06-28,56.33,56.925,55.821,38.328571,146237000,25.946781
2010-06-29,55.737,55.794,53.665,36.595715,283336200,24.773706
2010-06-30,54.173,54.439,52.759,35.932858,184863000,24.324986
2010-07-01,53.665,53.77,51.326,35.497143,255724000,24.030027
2010-07-02,52.861,52.953,51.322,35.277142,173460700,23.881092
2010-07-06,52.968,53.348,51.947,35.51857,153808900,24.044535
2010-07-07,52.861,54.608,52.704,36.952858,163639000,25.01548
2010-07-08,55.391,55.479,53.789,36.869999,184536100,24.959379
2010-07-09,54.211,54.846,53.846,37.08857,108330600,25.107355
2010-07-12,54.557,55.258,53.783,36.755714,140719600,24.882019
2010-07-13,54.091,54.108,52.004,35.971428,297731000,24.351084
2010-07-14,52.626,53.981,52.546,36.104286,203011900,24.441027
2010-07-15,52.384,54.228,52.187,35.921429,206216500,24.317242
2010-07-16,53.428,53.806,52.422,35.700001,259964600,24.167347
2010-07-19,52.732,52.732,50.562,35.082859,256119500,23.749567
2010-07-20,51.259,53.369,50.649,35.984287,268737700,24.359797
2010-07-21,55.942,55.954,53.601,36.32,296417800,24.587063
2010-07-22,54.378,54.867,53.878,37.002857,161329700,25.049328
2010-07-23,54.253,54.948,54.082,37.134285,133347200,25.138302
2010-07-26,54.867,54.889,54.384,37.040001,105137900,25.074474
2010-07-27,55.051,55.88,54.931,37.725716,146192900,25.538671
2010-07-28,55.642,56.131,54.92,37.279999,129996300,25.236944
2010-07-29,55.017,55.427,54.044,36.872856,160951700,24.961323
2010-07-30,54,54.804,53.791,36.75,112052500,24.878157
2010-08-02,54.96,55.414,54.787,37.407143,107013900,25.323013
2010-08-03,55.081,55.555,54.745,37.418571,104413400,25.330748
2010-08-04,55.467,55.771,54.933,37.568573,105093800,25.432289
2010-08-05,55.232,55.538,54.983,37.385715,72274300,25.308504
2010-08-06,54.821,55.182,54.367,37.155716,111224400,25.152805
2010-08-09,55.18,55.321,54.777,37.392857,75782000,25.313343
2010-08-10,54.836,54.962,54.35,37.058571,112980000,25.08704
2010-08-11,53.897,53.958,52.717,35.741428,155013600,24.195393
2010-08-12,52.059,53.411,51.938,35.970001,133730100,24.350124
2010-08-13,53.105,53.154,52.565,35.585712,88717300,24.089981
2010-08-16,52.246,52.759,52.044,35.377144,79607500,23.948786
2010-08-17,52.774,53.734,52.588,35.995716,105660100,24.367537
2010-08-18,53.255,53.743,53.091,36.152859,84924000,24.473919
2010-08-19,53.356,53.492,52.479,35.697144,106676500,24.165415
2010-08-20,52.628,53.584,52.546,35.662857,96057500,24.142208
2010-08-23,53.135,53.179,51.755,35.114285,103510400,23.770842
2010-08-24,51.21,51.28,50.362,34.275715,150641400,23.203169
2010-08-25,50.233,51.489,50.056,34.69857,149216900,23.489422
2010-08-26,51.797,51.86,50.706,34.325714,116626300,23.237013
2010-08-27,51.016,51.198,49.71,34.517143,137097800,23.366608
2010-08-30,50.807,51.86,50.79,34.642857,95822300,23.451712
2010-08-31,51.037,51.609,50.721,34.728573,105196700,23.509737
2010-09-01,52.223,53.065,51.972,35.761429,174259400,24.208933
2010-09-02,53.023,53.215,52.455,36.024284,103856900,24.386875
2010-09-03,53.831,54.61,53.707,36.967144,130197200,25.02515
2010-09-07,54.158,54.768,54.076,36.830002,85639400,24.93231
2010-09-08,54.821,55.794,54.677,37.560001,131637800,25.426485
2010-09-09,55.931,56.243,55.484,37.581429,109643800,25.44099
2010-09-10,55.541,55.817,55.163,37.630001,96885600,25.473871
2010-09-13,56.096,56.615,56.083,38.148571,97195000,25.824923
2010-09-14,56.178,56.803,56.032,38.294285,102037600,25.923563
2010-09-15,56.592,57.058,56.522,38.602856,107342200,26.13246
2010-09-16,57.028,58.385,56.872,39.509998,163025800,26.74655
2010-09-17,58.601,58.657,57.754,39.33857,158619300,26.630501
2010-09-20,58.261,59.886,58.212,40.46143,164669400,27.390631
2010-09-21,59.903,60.639,59.677,40.53857,167018600,27.442846
2010-09-22,59.66,60.772,59.597,41.107143,146322400,27.827751
2010-09-23,60.424,61.781,60.354,41.274284,196529200,27.940895
2010-09-24,61.641,61.943,61.314,41.759998,162372000,28.269703
2010-09-27,62.038,62.196,61.411,41.594284,120708700,28.157522
2010-09-28,61.572,61.572,58.033,40.98,258760600,27.74168
2010-09-29,60.614,61.158,60.354,41.052856,117411000,27.791
2010-09-30,60.987,61.198,59.352,40.535713,168347900,27.440912
2010-10-01,60.386,60.477,59.373,40.360001,112035700,27.321964
2010-10-04,59.426,59.7,58.617,39.805714,108825500,26.946741
2010-10-05,59.51,61.082,59.472,41.277142,125491800,27.942829
2010-10-06,61.112,61.618,60.198,41.312859,167717200,27.967009
2010-10-07,61.27,61.3,60.546,41.317142,102099900,27.969906
2010-10-08,61.559,62.148,61.198,42.009998,164600800,28.438946
2010-10-11,62.199,62.726,62.169,42.194286,106938300,28.5637
2010-10-12,62.34,63.203,61.724,42.648571,139636000,28.871233
2010-10-13,63.351,63.722,63.266,42.877144,157523100,29.02597
2010-10-14,63.665,63.83,63.393,43.187141,108824100,29.235823
2010-10-15,64.879,66.474,64.345,44.962856,230548500,30.437901
2010-10-18,67.206,67.318,66.324,45.42857,273252700,30.75316
2010-10-19,64.026,66.214,63.313,44.212856,308196000,29.930185
2010-10-20,65.208,66.316,64.758,44.361427,180406100,30.030758
2010-10-21,65.917,66.419,64.744,44.217144,137865000,29.933086
2010-10-22,65.223,65.427,64.638,43.924286,93194500,29.734837
2010-10-25,65.227,65.756,65.09,44.119999,98115500,29.867323
2010-10-26,64.758,65.364,64.501,44.007141,98232400,29.790922
2010-10-27,64.923,65.398,64.49,43.975716,99750700,29.769648
2010-10-28,64.986,64.997,63.498,43.605713,137762800,29.519169
2010-10-29,64.201,64.549,63.492,42.997143,107627800,29.107191
2010-11-01,63.777,64.49,63.773,43.454285,105972300,29.416668
2010-11-02,64.786,65.459,64.786,44.194286,108482500,29.917614
2010-11-03,65.708,66.027,65.109,44.685715,127087100,30.250286
2010-11-04,66.569,67.567,66.48,45.467144,160622000,30.77928
2010-11-05,67.105,67.438,66.843,45.304287,90313300,30.669037
2010-11-08,66.938,67.481,66.845,45.517143,70439600,30.813122
2010-11-09,67.751,67.803,66.368,45.154285,95886000,30.567488
2010-11-10,66.82,67.27,66.168,45.432858,96056800,30.756073
2010-11-11,66.474,67.191,66.316,45.235714,90321000,30.622614
2010-11-12,66.685,66.791,64.075,44.004284,198961700,29.788988
2010-11-15,65.094,65.533,64.632,43.862858,100901500,29.693251
2010-11-16,64.516,64.912,63.165,43.084286,164412500,29.166182
2010-11-17,63.562,64.151,62.836,42.92857,119862400,29.06078
2010-11-18,64.406,65.349,64.298,44.061428,123622800,29.827673
2010-11-19,64.99,65.081,64.414,43.818573,96210800,29.663261
2010-11-22,64.718,66.128,64.547,44.765713,98268800,30.304449
2010-11-23,65.514,65.788,64.693,44.104286,129861900,29.856676
2010-11-24,65.841,66.558,65.788,44.971428,103431300,30.443701
2010-11-26,66.208,67.044,66.039,45,59396400,30.463043
2010-11-29,66.58,66.997,65.71,45.267143,111446300,30.643888
2010-11-30,66.166,66.339,65.602,44.450001,125464500,30.090719
2010-12-01,66.531,67.054,66.474,45.200001,115437700,30.598429
2010-12-02,67.008,67.318,66.451,45.450001,115709300,30.767668
2010-12-03,66.898,67.244,66.757,45.348572,85523200,30.699011
2010-12-06,67.242,68.021,67.196,45.735714,112120400,30.961086
2010-12-07,68.331,68.371,67.132,45.458572,97863500,30.773476
2010-12-08,67.451,67.744,66.919,45.85857,80483900,31.044254
2010-12-09,67.979,68.057,67.322,45.68,73537800,30.923376
2010-12-10,67.455,67.751,67.234,45.794285,65627800,31.000738
2010-12-13,68.451,68.597,67.74,45.952858,109953900,31.108082
2010-12-14,67.894,68.065,67.318,45.755714,87752000,30.974625
2010-12-15,67.529,68.162,67.358,45.765713,104328000,30.981401
2010-12-16,67.759,68.08,67.55,45.892857,80507700,31.067472
2010-12-17,67.873,67.907,67.578,45.80143,96732300,31.005581
2010-12-20,67.867,68.215,67.156,46.029999,96402600,31.160311
2010-12-21,68.162,68.456,67.962,46.314285,64088500,31.352764
2010-12-22,68.449,68.736,68.278,46.451427,66480400,31.445597
2010-12-23,68.584,68.616,68.198,46.228573,55789300,31.294731
2010-12-27,68.131,68.677,67.85,46.382858,62454000,31.399181
2010-12-28,68.776,68.935,68.597,46.495716,43981000,31.475584
2010-12-29,68.842,68.89,68.605,46.470001,40784800,31.45817
2010-12-30,68.686,68.692,68.173,46.237144,39373600,31.300533
2010-12-31,68.152,68.263,67.806,46.080002,48377000,31.194164
2011-01-03,68.719,69.694,68.55,47.081429,111284600,31.872087
2011-01-04,70.154,70.167,69.249,47.327145,77270200,32.038425
2011-01-05,69.544,70.555,69.534,47.714287,63879900,32.300491
2011-01-06,70.635,70.747,70.251,47.675713,75107200,32.27438
2011-01-07,70.481,70.979,70.04,48.017143,77982800,32.505524
2011-01-10,71.503,72.431,71.152,48.921429,112140000,33.11768
2011-01-11,72.78,72.796,71.638,48.805714,111027000,33.039349
2011-01-12,72.436,72.685,72.172,49.202858,75647600,33.308197
2011-01-13,72.839,73.151,72.562,49.382858,74195100,33.430058
2011-01-14,72.993,73.539,72.687,49.782856,77210000,33.700829
2011-01-18,69.538,72.754,68.795,48.664288,470249500,32.943604
2011-01-19,73.512,73.565,71.091,48.405716,283903200,32.768566
2011-01-20,70.996,71.391,69.665,47.525715,191197300,32.172844
2011-01-21,70.435,70.669,68.928,46.674286,188600300,31.596466
2011-01-24,68.979,71.212,68.947,48.207142,143670800,32.63414
2011-01-25,70.975,72.054,70.604,48.771427,136717000,33.016144
2011-01-26,72.374,72.931,72.066,49.121429,126718900,33.253075
2011-01-27,72.547,72.739,72.347,49.029999,71256500,33.191177
2011-01-28,72.63,72.678,70.384,48.014286,148014300,32.503578
2011-01-31,70.863,71.758,70.547,48.474285,94311700,32.814983
