"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,162.321,164.536,161.913,132.449997,6155300,107.039459
2010-01-05,162.94,163.15,160.985,130.850006,6841400,105.746422
2010-01-06,161.703,162.705,160.626,130,5605300,105.059494
2010-01-07,160.7,161.171,159.512,129.550003,5840600,104.695824
2010-01-08,159.71,162,159.686,130.850006,4197200,105.746422
2010-01-11,162.173,162.173,159.216,129.479996,5730400,104.639236
2010-01-12,159.661,162.507,159.624,130.509995,8081500,105.471642
2010-01-13,161.344,162.247,159.822,130.229996,6455400,105.245354
2010-01-14,161.542,164.215,160.75,132.309998,7111800,106.926292
2010-01-15,163.373,164.437,162.21,131.779999,8494400,106.497986
2010-01-19,162.878,166.12,162.792,134.139999,13916200,108.40522
2010-01-20,161.43,162.284,159.562,130.25,15197500,105.261528
2010-01-21,161.443,161.715,158.461,129,9608600,104.251328
2010-01-22,159.216,159.488,155.132,125.5,10088600,101.422798
2010-01-25,156.32,157.013,155.553,126.120003,5738500,101.923866
2010-01-26,155.813,158.077,155.182,125.75,7135300,101.624855
2010-01-27,155.689,157.1,154.724,126.330002,8719200,102.093575
2010-01-28,157.186,157.199,152.261,123.75,9622200,100.00853
2010-01-29,153.833,154.674,150.838,122.389999,11571200,98.90947
2010-02-01,152.484,154.612,151.927,124.669998,7242900,100.752052
2010-02-02,154.414,155.677,153.375,125.529999,5899900,101.447067
2010-02-03,154.872,155.998,154.761,125.660004,4177100,101.552116
2010-02-04,154.909,155.219,152.076,123,9126900,99.402435
2010-02-05,152.249,153.09,150.752,123.519997,8617000,99.822655
2010-02-08,151.707,151.793,149.97,121.879997,5718500,98.937851
2010-02-09,151.091,153,150.857,123.209999,6044500,100.017517
2010-02-10,151.448,152.323,150.549,122.809998,5219100,99.692772
2010-02-11,151.004,153,150.364,123.730003,5089000,100.439629
2010-02-12,151.534,152.815,149.809,124,8017700,100.658783
2010-02-16,153.875,154.269,152.889,125.230003,6777300,101.657265
2010-02-17,154.601,155.87,154.244,126.330002,5827400,102.550209
2010-02-18,155.378,157.681,155.217,127.809998,5525900,103.751602
2010-02-19,156.88,157.755,156.289,127.190002,6303100,103.248337
2010-02-22,156.819,156.979,155.599,126.849998,3808100,102.972313
2010-02-23,155.809,157.262,155.217,126.459999,4591900,102.655731
2010-02-24,156.474,158.014,156.215,127.589996,4782000,103.573006
2010-02-25,155.279,156.745,154.688,127.07,5658700,103.150887
2010-02-26,156.462,157.681,156.129,127.160004,4784200,103.223961
2010-03-01,157.065,158.704,157.028,128.570007,4577700,104.368568
2010-03-02,158.543,159.024,156.609,127.419998,6013300,103.435043
2010-03-03,157.349,157.706,156.055,126.879997,6390000,102.996658
2010-03-04,156.536,156.536,154.565,126.720001,6032300,102.866791
2010-03-05,156.659,157.127,156.499,127.25,6140200,103.297005
2010-03-08,156.523,157.065,155.661,126.410004,6199300,102.615128
2010-03-09,155.55,155.575,154.232,125.550003,7528800,101.917023
2010-03-10,155.205,155.661,154.244,125.620003,6916200,101.973854
2010-03-11,154.86,157.447,154.86,127.599998,7922200,103.581123
2010-03-12,157.57,158.137,157.078,127.940002,5169500,103.857124
2010-03-15,156.942,158.1,156.794,127.830002,4497700,103.76783
2010-03-16,157.681,158.765,157.004,128.669998,6134900,104.449707
2010-03-17,158.79,158.827,156.893,127.760002,6348400,103.711029
2010-03-18,157.016,158.605,157.004,128.380005,4954400,104.214302
2010-03-19,157.324,158.827,156.178,127.709999,10744300,103.670433
2010-03-22,156.585,158.162,155.92,127.980003,5651900,103.889618
2010-03-23,157.607,159.443,157.238,129.369995,5978500,105.017975
2010-03-24,158.457,160.083,158.26,128.529999,6669300,104.336067
2010-03-25,159.357,161.044,159.073,129.240005,7603200,104.912422
2010-03-26,158.827,159.874,158.568,129.259995,5550800,104.928665
2010-03-29,159.283,160.083,158.002,128.589996,4643000,104.384781
2010-03-30,158.79,159.073,157.989,128.770004,3426600,104.530907
2010-03-31,157.965,158.605,157.25,128.25,4904800,104.10878
2010-04-01,158.852,159.295,157.127,128.25,4980500,104.10878
2010-04-05,158.149,159.899,157.854,129.350006,4118700,105.001701
2010-04-06,158.519,159.283,157.743,128.929993,3926300,104.660782
2010-04-07,158.334,159.246,157.694,128.479996,5157000,104.295494
2010-04-08,157.73,157.965,156.696,127.610001,6006900,103.589249
2010-04-09,157.533,158.753,156.597,128.759995,5185100,104.522774
2010-04-12,158.383,158.864,157.977,128.360001,3992300,104.198067
2010-04-13,158.002,159.443,157.484,129.029999,6819100,104.741959
2010-04-14,159.812,161.894,159.48,131.25,8545800,106.544075
2010-04-15,160.798,161.549,160.379,130.889999,6425300,106.251831
2010-04-16,160.983,162.818,160.453,130.630005,9546200,106.040794
