"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,22.892,22.952,22.862,22.92,5083600,22.898422
2010-01-05,22.912,22.982,22.862,22.91,6185000,22.888432
2010-01-06,22.972,22.992,22.852,22.85,5693300,22.828487
2010-01-07,22.982,23.052,22.982,23,5844100,22.978346
2010-01-08,22.912,23.052,22.852,22.84,7371900,22.818497
2010-01-11,22.761,22.771,22.671,22.719999,8037200,22.69861
2010-01-12,22.741,22.751,22.651,22.719999,10486900,22.69861
2010-01-13,22.651,22.741,22.641,22.700001,4659400,22.678629
2010-01-14,22.701,22.731,22.621,22.639999,7799800,22.618685
2010-01-15,22.771,22.852,22.771,22.77,3053400,22.748564
2010-01-19,22.882,22.932,22.852,22.84,3527200,22.818497
2010-01-20,23.092,23.172,23.082,23.120001,8332600,23.098234
2010-01-21,23.182,23.232,23.062,23.120001,7817500,23.098234
2010-01-22,23.142,23.182,23.042,23.08,3961500,23.058271
2010-01-25,23.122,23.122,23.052,23.049999,4221400,23.028299
2010-01-26,23.202,23.212,23.122,23.15,7508800,23.128204
2010-01-27,23.192,23.282,23.152,23.23,7955000,23.20813
2010-01-28,23.252,23.312,23.242,23.27,5930300,23.248093
2010-01-29,23.372,23.472,23.352,23.450001,8886700,23.427923
2010-02-01,23.382,23.432,23.362,23.35,5346900,23.328018
2010-02-02,23.342,23.362,23.292,23.27,4624700,23.248093
2010-02-03,23.352,23.452,23.332,23.4,7748900,23.37797
2010-02-04,23.522,23.582,23.502,23.549999,9522800,23.527828
2010-02-05,23.642,23.792,23.632,23.65,17374200,23.627735
2010-02-08,23.662,23.692,23.602,23.639999,10965400,23.617743
2010-02-09,23.572,23.652,23.432,23.49,11684600,23.467884
2010-02-10,23.572,23.662,23.542,23.559999,6164200,23.537819
2010-02-11,23.622,23.712,23.542,23.549999,6182500,23.527828
2010-02-12,23.722,23.762,23.632,23.629999,4336300,23.607752
2010-02-16,23.612,23.622,23.432,23.43,5956700,23.407942
2010-02-17,23.552,23.702,23.532,23.65,4796600,23.627735
2010-02-18,23.672,23.752,23.592,23.65,3961800,23.627735
2010-02-19,23.852,23.903,23.712,23.719999,5482400,23.697668
2010-02-22,23.682,23.742,23.662,23.68,3619000,23.657707
2010-02-23,23.752,23.832,23.702,23.809999,3647400,23.787584
2010-02-24,23.762,23.802,23.642,23.76,5542600,23.737631
2010-02-25,23.872,23.872,23.722,23.709999,4687800,23.687677
2010-02-26,23.732,23.762,23.582,23.639999,4837100,23.617743
2010-03-01,23.812,23.913,23.722,23.719999,6130600,23.697668
2010-03-02,23.732,23.802,23.642,23.65,4698800,23.627735
2010-03-03,23.622,23.642,23.472,23.51,6455000,23.487867
2010-03-04,23.592,23.722,23.582,23.639999,4037300,23.617743
2010-03-05,23.722,23.742,23.642,23.629999,3555100,23.607752
2010-03-08,23.562,23.682,23.552,23.620001,4168100,23.597763
2010-03-09,23.722,23.732,23.652,23.66,2696900,23.637726
2010-03-10,23.692,23.712,23.602,23.620001,2315800,23.597763
2010-03-11,23.642,23.682,23.582,23.57,3525800,23.54781
2010-03-12,23.492,23.522,23.432,23.42,5689400,23.397951
2010-03-15,23.532,23.622,23.522,23.549999,3116600,23.527828
2010-03-16,23.492,23.512,23.402,23.379999,5086700,23.357988
2010-03-17,23.422,23.462,23.362,23.389999,4740400,23.367979
2010-03-18,23.492,23.632,23.472,23.549999,5246900,23.527828
2010-03-19,23.732,23.772,23.652,23.709999,6911200,23.687677
2010-03-22,23.802,23.812,23.662,23.65,4476300,23.627735
2010-03-23,23.752,23.772,23.662,23.73,3182100,23.707659
2010-03-24,24.023,24.073,23.963,24.049999,6944000,24.027357
2010-03-25,24.033,24.163,23.983,24.129999,7722800,24.107283
2010-03-26,24.073,24.093,23.963,23.959999,3919600,23.937441
2010-03-29,23.923,23.943,23.862,23.84,3267200,23.817556
2010-03-30,23.862,23.963,23.852,23.93,6498400,23.907471
2010-03-31,23.812,23.832,23.752,23.799999,3890100,23.777592
2010-04-01,23.802,23.822,23.682,23.66,3173700,23.637726
2010-04-05,23.772,23.822,23.742,23.780001,1792100,23.757612
2010-04-06,23.913,23.933,23.862,23.85,3353700,23.827547
2010-04-07,23.943,23.953,23.872,23.9,6376200,23.877499
2010-04-08,23.973,23.993,23.892,23.879999,4863200,23.857517
2010-04-09,23.882,23.892,23.722,23.700001,6529400,23.677689
2010-04-12,23.632,23.652,23.592,23.6,5244300,23.577782
2010-04-13,23.572,23.672,23.562,23.6,3626800,23.577782
